group,taxon_a,taxon_b,factor,density_overlap
orientation,Cirsium discolor,Cirsium kamtschaticum,1.25,0.8202094842250458
orientation,Cirsium discolor,Cirsium mexicanum,0.75,0.8863660787821264
orientation,Cirsium discolor,Cirsium mexicanum,1.0,0.9019332303275015
orientation,Cirsium discolor,Cirsium mexicanum,1.25,0.9134205976270037
orientation,Cirsium discolor,Cirsium repandum,0.75,0.8484679862507609
orientation,Cirsium discolor,Cirsium repandum,1.0,0.8810860487326473
orientation,Cirsium discolor,Cirsium repandum,1.25,0.8998689351225416
orientation,Cirsium dissectum,Cirsium japonicum,0.75,0.6873162683307331
orientation,Cirsium dissectum,Cirsium japonicum,1.0,0.7097432491452158
orientation,Cirsium dissectum,Cirsium japonicum,1.25,0.7327485364352333
orientation,Cirsium dissectum,Cirsium muticum,0.75,0.8214351714412481
orientation,Cirsium dissectum,Cirsium muticum,1.0,0.837728785729479
orientation,Cirsium dissectum,Cirsium muticum,1.25,0.8558360189949433
orientation,Cirsium dissectum,Cirsium pumilum,0.75,0.7755539741629423
orientation,Cirsium dissectum,Cirsium pumilum,1.0,0.7926150078277363
orientation,Cirsium dissectum,Cirsium pumilum,1.25,0.8097125173861741
orientation,Cirsium drummondii,Cirsium helenioides,0.75,0.8722354805441008
orientation,Cirsium drummondii,Cirsium helenioides,1.0,0.8989886876197862
orientation,Cirsium drummondii,Cirsium helenioides,1.25,0.9167931769927525
orientation,Cirsium echinus,Cirsium edule,0.75,0.8712897016874277
orientation,Cirsium echinus,Cirsium edule,1.0,0.911587003703956
orientation,Cirsium echinus,Cirsium edule,1.25,0.9274112265042764
orientation,Cirsium echinus,Cirsium mexicanum,0.75,0.9218740885551777
orientation,Cirsium echinus,Cirsium mexicanum,1.0,0.9415850790241855
orientation,Cirsium echinus,Cirsium mexicanum,1.25,0.9542186407530922
orientation,Cirsium echinus,Cirsium ochrocentrum,0.75,0.8331520334769683
orientation,Cirsium echinus,Cirsium ochrocentrum,1.0,0.8579613737120346
orientation,Cirsium echinus,Cirsium ochrocentrum,1.25,0.8703304023287539
orientation,Cirsium echinus,Cirsium rhaphilepis,0.75,0.817256880400633
orientation,Cirsium echinus,Cirsium rhaphilepis,1.0,0.8437505277134912
orientation,Cirsium echinus,Cirsium rhaphilepis,1.25,0.8587384413187311
orientation,Cirsium echinus,Cirsium texanum,0.75,0.8624090151819562
orientation,Cirsium echinus,Cirsium texanum,1.0,0.8862630508587878
orientation,Cirsium echinus,Cirsium texanum,1.25,0.8992247687119871
orientation,Cirsium edule,Cirsium monspessulanum,0.75,0.8420635158586686
orientation,Cirsium edule,Cirsium monspessulanum,1.0,0.8621737023261647
orientation,Cirsium edule,Cirsium monspessulanum,1.25,0.8739151375681982
orientation,Cirsium edule,Cirsium serratuloides,0.75,0.8418397067312601
orientation,Cirsium edule,Cirsium serratuloides,1.0,0.8540490243135243
orientation,Cirsium edule,Cirsium serratuloides,1.25,0.8594960795600028
orientation,Cirsium ehrenbergii,Cirsium kamtschaticum,0.75,0.8514553340071345
orientation,Cirsium ehrenbergii,Cirsium kamtschaticum,1.0,0.8725870733430425
orientation,Cirsium ehrenbergii,Cirsium kamtschaticum,1.25,0.8863306555269446
orientation,Cirsium ehrenbergii,Cirsium monspessulanum,0.75,0.774909288559763
orientation,Cirsium ehrenbergii,Cirsium monspessulanum,1.0,0.8019595080242836
orientation,Cirsium ehrenbergii,Cirsium monspessulanum,1.25,0.821393520899977
orientation,Cirsium ehrenbergii,Cirsium pumilum,0.75,0.7935352273675204
orientation,Cirsium ehrenbergii,Cirsium pumilum,1.0,0.8151891100659234
orientation,Cirsium ehrenbergii,Cirsium pumilum,1.25,0.8226569312267535
orientation,Cirsium ehrenbergii,Cirsium tuberosum,0.75,0.6459667015737548
orientation,Cirsium ehrenbergii,Cirsium tuberosum,1.0,0.6581015294594857
orientation,Cirsium ehrenbergii,Cirsium tuberosum,1.25,0.6725478054860528
orientation,Cirsium ehrenbergii,Cirsium ukranicum,0.75,0.6059080565088184
orientation,Cirsium ehrenbergii,Cirsium ukranicum,1.0,0.6290362666355733
orientation,Cirsium ehrenbergii,Cirsium ukranicum,1.25,0.6516662369283046
orientation,Cirsium erisithales,Cirsium palustre,0.75,0.6397426128658033
orientation,Cirsium erisithales,Cirsium palustre,1.0,0.6641434714563101
orientation,Cirsium erisithales,Cirsium palustre,1.25,0.6877526563384293
orientation,Cirsium erisithales,Cirsium vulgare,0.75,0.6263372616359829
orientation,Cirsium erisithales,Cirsium vulgare,1.0,0.6422510697246717
orientation,Cirsium erisithales,Cirsium vulgare,1.25,0.6589344361266152
