obs_id,taxon_name,observed_on,photo_id,photo_index,photo_rank_within_observation,n_available_photos,photo_license_code,selected_image_url
26709896,Cirsium palustre,2019-06-09,41489060,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41489060/medium.jpg
26709896,Cirsium palustre,2019-06-09,41489198,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41489198/medium.jpg
267099756,Cirsium arvense,2025-03-19,479958829,0,1,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/479958829/medium.jpg
267099756,Cirsium arvense,2025-03-19,479958821,1,2,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/479958821/medium.jpg
267099756,Cirsium arvense,2025-03-19,479958825,2,3,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/479958825/medium.jpg
267099756,Cirsium arvense,2025-03-19,479958820,3,4,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/479958820/medium.jpg
267105955,Cirsium vulgare,2019-07-27,479969793,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/479969793/medium.jpg
267105955,Cirsium vulgare,2019-07-27,479970490,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/479970490/medium.jpg
267152261,Cirsium texanum,2025-03-19,480063463,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480063463/medium.jpg
267152261,Cirsium texanum,2025-03-19,480063464,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480063464/medium.jpg
267175357,Cirsium obvallatum,2024-08-07,480109833,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480109833/medium.jpeg
267175357,Cirsium obvallatum,2024-08-07,480111612,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480111612/medium.jpeg
26731338,Cirsium palustre,2019-06-10,41525862,0,1,2,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/41525862/medium.jpeg
26731338,Cirsium palustre,2019-06-10,41525906,1,2,2,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/41525906/medium.jpeg
267330317,Cirsium nuttallii,2025-03-26,480402359,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480402359/medium.jpeg
267330317,Cirsium nuttallii,2025-03-26,480409921,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480409921/medium.jpeg
267330317,Cirsium nuttallii,2025-03-26,480409927,2,3,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480409927/medium.jpeg
267433115,Cirsium horridulum,2025-03-28,480598775,0,1,3,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/480598775/medium.jpg
267433115,Cirsium horridulum,2025-03-28,480598771,1,2,3,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/480598771/medium.jpg
267433115,Cirsium horridulum,2025-03-28,480598781,2,3,3,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/480598781/medium.jpg
267455538,Cirsium arvense,2025-03-27,480618176,0,1,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480618176/medium.jpeg
267455538,Cirsium arvense,2025-03-27,480618150,1,2,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480618150/medium.jpeg
267455538,Cirsium arvense,2025-03-27,480618160,2,3,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480618160/medium.jpeg
267455538,Cirsium arvense,2025-03-27,480618036,3,4,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/480618036/medium.jpeg
267779201,Cirsium dissectum,2024-06-16,481257837,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481257837/medium.jpeg
267779201,Cirsium dissectum,2024-06-16,481257955,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481257955/medium.jpeg
267893208,Cirsium vulgare,2025-03-31,481481461,0,1,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481481461/medium.jpg
267893208,Cirsium vulgare,2025-03-31,481483905,1,2,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481483905/medium.jpg
267893208,Cirsium vulgare,2025-03-31,481483921,2,3,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481483921/medium.jpg
267893208,Cirsium vulgare,2025-03-31,481484607,3,4,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481484607/medium.jpg
267893208,Cirsium vulgare,2025-03-31,481484688,4,5,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481484688/medium.jpg
267896674,Cirsium palustre,1991-07-04,481487628,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481487628/medium.jpeg
267896674,Cirsium palustre,1991-07-04,481487650,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481487650/medium.jpeg
267896674,Cirsium palustre,1991-07-04,481487672,2,3,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481487672/medium.jpeg
26793877,Cirsium palustre,2019-06-11,41626898,0,1,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41626898/medium.jpg
26793877,Cirsium palustre,2019-06-11,41626887,1,2,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41626887/medium.jpg
26793877,Cirsium palustre,2019-06-11,41626892,2,3,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41626892/medium.jpg
26793877,Cirsium palustre,2019-06-11,41626901,3,4,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41626901/medium.jpg
26793877,Cirsium palustre,2019-06-11,41626908,4,5,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41626908/medium.jpg
268139202,Cirsium heterophyllum,2024-07-06,481936339,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481936339/medium.jpeg
268139202,Cirsium heterophyllum,2024-07-06,481936398,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/481936398/medium.jpeg
268166820,Cirsium texanum,2025-04-01,482000729,0,1,2,,https://static.inaturalist.org/photos/482000729/medium.jpg
268166820,Cirsium texanum,2025-04-01,482001067,1,2,2,,https://static.inaturalist.org/photos/482001067/medium.jpg
268203985,Cirsium vulgare,2025-03-31,482068443,0,1,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/482068443/medium.jpeg
268203985,Cirsium vulgare,2025-03-31,482068460,1,2,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/482068460/medium.jpeg
268266860,Cirsium horridulum,2025-04-02,482187594,0,1,6,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482187594/medium.jpg
268266860,Cirsium horridulum,2025-04-02,482187576,1,2,6,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482187576/medium.jpg
268266860,Cirsium horridulum,2025-04-02,482187578,2,3,6,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482187578/medium.jpg
268266860,Cirsium horridulum,2025-04-02,482187592,3,4,6,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482187592/medium.jpg
268266860,Cirsium horridulum,2025-04-02,482187584,4,5,6,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482187584/medium.jpg
268266860,Cirsium horridulum,2025-04-02,482187571,5,6,6,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482187571/medium.jpg
268356713,Cirsium vulgare,2025-04-02,482365672,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482365672/medium.jpg
268356713,Cirsium vulgare,2025-04-02,482368840,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482368840/medium.jpg
268356713,Cirsium vulgare,2025-04-02,482368892,2,3,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482368892/medium.jpg
268409553,Cirsium horridulum,2025-04-03,482461699,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482461699/medium.jpg
268409553,Cirsium horridulum,2025-04-03,482461647,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482461647/medium.jpg
268409553,Cirsium horridulum,2025-04-03,482461676,2,3,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482461676/medium.jpg
268410965,Cirsium vulgare,2025-04-03,482464332,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482464332/medium.jpeg
268410965,Cirsium vulgare,2025-04-03,482464378,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482464378/medium.jpeg
268417624,Cirsium horridulum,2025-04-03,482476851,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482476851/medium.jpg
268417624,Cirsium horridulum,2025-04-03,482476831,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482476831/medium.jpg
268468238,Cirsium occidentale,2025-04-03,482575829,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482575829/medium.jpeg
268468238,Cirsium occidentale,2025-04-03,482575876,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482575876/medium.jpeg
26850631,Cirsium vulgare,2019-06-11,41717582,0,1,2,cc-by-nc-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/41717582/medium.jpeg
26850631,Cirsium vulgare,2019-06-11,41717586,1,2,2,cc-by-nc-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/41717586/medium.jpeg
268574524,Cirsium horridulum,2025-04-04,482779991,0,1,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/482779991/medium.jpg
268574524,Cirsium horridulum,2025-04-04,482780028,1,2,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/482780028/medium.jpg
268617181,Cirsium horridulum,2025-03-29,482858947,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482858947/medium.jpg
268617181,Cirsium horridulum,2025-03-29,482858997,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482858997/medium.jpg
26867898,Cirsium palustre,2019-06-12,41745356,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41745356/medium.jpg
26867898,Cirsium palustre,2019-06-12,41745361,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41745361/medium.jpg
268686679,Cirsium japonicum,2025-04-02,482994968,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482994968/medium.jpg
268686679,Cirsium japonicum,2025-04-02,482994967,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482994967/medium.jpg
268687546,Cirsium brevicaule,2025-04-05,482999791,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482999791/medium.jpg
268687546,Cirsium brevicaule,2025-04-05,482999817,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/482999817/medium.jpg
268739851,Cirsium horridulum,2025-04-03,483097752,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483097752/medium.jpg
268739851,Cirsium horridulum,2025-04-03,483097781,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483097781/medium.jpg
26876908,Cirsium undulatum,2019-06-11,41760486,0,1,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/41760486/medium.jpg
26876908,Cirsium undulatum,2019-06-11,41760560,1,2,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/41760560/medium.jpg
26878708,Cirsium palustre,2019-06-11,41763424,0,1,2,cc-by-nc-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/41763424/medium.jpeg
26878708,Cirsium palustre,2019-06-11,41768708,1,2,2,cc-by-nc-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/41768708/medium.jpeg
26886495,Cirsium cymosum,2019-06-11,41776148,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41776148/medium.jpg
26886495,Cirsium cymosum,2019-06-11,41776136,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/41776136/medium.jpg
26887346,Cirsium arvense,2019-06-12,41777382,0,1,3,,https://static.inaturalist.org/photos/41777382/medium.jpg
26887346,Cirsium arvense,2019-06-12,41777372,1,2,3,,https://static.inaturalist.org/photos/41777372/medium.jpg
26887346,Cirsium arvense,2019-06-12,41777394,2,3,3,,https://static.inaturalist.org/photos/41777394/medium.jpg
268897167,Cirsium irumtiense,2025-04-06,483403519,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483403519/medium.jpg
268897167,Cirsium irumtiense,2025-04-06,483403546,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483403546/medium.jpg
268964743,Cirsium vulgare,2025-04-06,483529082,0,1,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483529082/medium.jpg
268964743,Cirsium vulgare,2025-04-06,483529128,1,2,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483529128/medium.jpg
268964743,Cirsium vulgare,2025-04-06,483529207,2,3,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483529207/medium.jpg
268964743,Cirsium vulgare,2025-04-06,483529287,3,4,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483529287/medium.jpg
268979836,Cirsium vulgare,2025-04-05,483557212,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483557212/medium.jpg
268979836,Cirsium vulgare,2025-04-05,483557229,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483557229/medium.jpg
269000811,Cirsium horridulum,2025-04-06,483599635,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/483599635/medium.jpg
