condition,metric_id,metric_kind,unit,exposure_stratum,scheduled_heads,scheduled_images,scheduled_components,baseline_usable_heads,paired_usable_heads,lost_usable_heads,gained_usable_heads,neither_usable_heads,paired_images,paired_components,mean_signed_change,mean_absolute_change,median_component_absolute_change,p95_component_absolute_change,spearman_paired_component_means,component_weighted_loss_fraction
baseline,bract_projection_peak_density,registered_endpoint,peaks per valid bin,all_cached,2853,1759,1753,160,160,0,0,2693,149,148,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,bract_projection_peak_density,registered_endpoint,peaks per valid bin,recorded_development_exposed,1406,846,842,74,74,0,0,1332,69,68,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_peak_density,registered_endpoint,peaks per valid bin,no_recorded_development_exposure,1447,913,911,86,86,0,0,1361,80,80,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_asymmetry,registered_endpoint,relative,all_cached,2853,1759,1753,160,160,0,0,2693,149,148,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_asymmetry,registered_endpoint,relative,recorded_development_exposed,1406,846,842,74,74,0,0,1332,69,68,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_asymmetry,registered_endpoint,relative,no_recorded_development_exposure,1447,913,911,86,86,0,0,1361,80,80,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_surface_edge_density,registered_endpoint,fraction,all_cached,2853,1759,1753,53,53,0,0,2800,50,50,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,involucre_surface_edge_density,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,27,27,0,0,1379,24,24,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,involucre_surface_edge_density,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,26,26,0,0,1421,26,26,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,involucre_surface_lbp_entropy,registered_endpoint,normalized entropy,all_cached,2853,1759,1753,53,53,0,0,2800,50,50,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,involucre_surface_lbp_entropy,registered_endpoint,normalized entropy,recorded_development_exposed,1406,846,842,27,27,0,0,1379,24,24,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,involucre_surface_lbp_entropy,registered_endpoint,normalized entropy,no_recorded_development_exposure,1447,913,911,26,26,0,0,1421,26,26,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,involucre_surface_high_frequency_energy,registered_endpoint,relative,all_cached,2853,1759,1753,53,53,0,0,2800,50,50,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,involucre_surface_high_frequency_energy,registered_endpoint,relative,recorded_development_exposed,1406,846,842,27,27,0,0,1379,24,24,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_surface_high_frequency_energy,registered_endpoint,relative,no_recorded_development_exposure,1447,913,911,26,26,0,0,1421,26,26,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,involucre_surface_specular_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,53,53,0,0,2800,50,50,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_surface_specular_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,27,27,0,0,1379,24,24,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_surface_specular_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,26,26,0,0,1421,26,26,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,joint_hue_angular_change,joint_diagnostic_not_additional_endpoint,degrees,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,,0.0,0.0,0.0,,0.0
baseline,joint_hue_angular_change,joint_diagnostic_not_additional_endpoint,degrees,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,,0.0,0.0,0.0,,0.0
baseline,joint_hue_angular_change,joint_diagnostic_not_additional_endpoint,degrees,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,,0.0,0.0,0.0,,0.0
baseline,joint_colour_composition_total_variation,joint_diagnostic_not_additional_endpoint,fraction,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,,0.0,0.0,0.0,,0.0
baseline,joint_colour_composition_total_variation,joint_diagnostic_not_additional_endpoint,fraction,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,,0.0,0.0,0.0,,0.0
baseline,joint_colour_composition_total_variation,joint_diagnostic_not_additional_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,,0.0,0.0,0.0,,0.0
bbox_left_5pct,orientation_image_vertical_angle,registered_endpoint,degrees,all_cached,2853,1759,1753,995,919,76,72,1786,747,746,-0.366137211369646,4.95292959559119,2.4019598179553086,16.69350141342693,0.9720900696186692,0.07255149222362337
bbox_left_5pct,orientation_image_vertical_angle,registered_endpoint,degrees,recorded_development_exposed,1406,846,842,508,473,35,34,864,374,373,-0.3712431614492734,5.220430111776265,2.3778192477336297,17.10162545555787,0.9667432216256814,0.06729957805907173
bbox_left_5pct,orientation_image_vertical_angle,registered_endpoint,degrees,no_recorded_development_exposure,1447,913,911,487,446,41,38,922,373,373,-0.36103126129001845,4.685429079406114,2.4034294289946274,16.233599426188377,0.9756564942299357,0.07776381909547739
bbox_left_5pct,corolla_lab_lightness,registered_endpoint,Lab L*,all_cached,2853,1759,1753,1250,1226,24,11,1592,960,958,0.008923792789276061,0.2942267716553117,0.0,1.1764678955078125,0.9975779134714979,0.020427350427350426
bbox_left_5pct,corolla_lab_lightness,registered_endpoint,Lab L*,recorded_development_exposed,1406,846,842,623,609,14,7,776,462,460,0.00994594477225041,0.33660125248674033,0.196075439453125,1.1764717102050781,0.9968367404927491,0.02398720682302772
bbox_left_5pct,corolla_lab_lightness,registered_endpoint,Lab L*,no_recorded_development_exposure,1447,913,911,627,617,10,4,816,498,498,0.007979636339139111,0.2550856849435503,0.0,0.813727760314937,0.9983403265924491,0.017127799736495388
bbox_left_5pct,corolla_lab_chroma,registered_endpoint,Lab chroma,all_cached,2853,1759,1753,1250,1226,24,11,1592,960,958,-0.00474989361122572,0.24222939814140834,0.09128618240356445,1.0326093077659606,0.9987136199041355,0.020427350427350426
bbox_left_5pct,corolla_lab_chroma,registered_endpoint,Lab chroma,recorded_development_exposed,1406,846,842,623,609,14,7,776,462,460,0.021640815078348353,0.2681067468463511,0.11236011981964111,1.0817923307418813,0.9982943675262592,0.02398720682302772
bbox_left_5pct,corolla_lab_chroma,registered_endpoint,Lab chroma,no_recorded_development_exposure,1447,913,911,627,617,10,4,816,498,498,-0.02912685344496884,0.21832662624527654,0.07507991790771484,0.932318592071533,0.9989637847646443,0.017127799736495388
bbox_left_5pct,corolla_hue_sin,registered_endpoint,unitless,all_cached,2853,1759,1753,1250,1226,24,11,1592,960,958,-0.0016548144665493136,0.011418668203340589,0.0030294840397804904,0.04172503120805665,0.9967547532073636,0.020427350427350426
bbox_left_5pct,corolla_hue_sin,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,623,609,14,7,776,462,460,-0.0036393376535510686,0.014402453622127645,0.003504058362789257,0.04892031204752487,0.9934929009486156,0.02398720682302772
bbox_left_5pct,corolla_hue_sin,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,627,617,10,4,816,498,498,0.00017827924031977874,0.008662561190003146,0.002692286326749893,0.03510089043463587,0.9994268433111161,0.017127799736495388
bbox_left_5pct,corolla_hue_cos,registered_endpoint,unitless,all_cached,2853,1759,1753,1250,1226,24,11,1592,960,958,4.8916336168900284e-05,0.008539731146017068,0.002761285191957563,0.03285141505560292,0.9967596257248696,0.020427350427350426
bbox_left_5pct,corolla_hue_cos,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,623,609,14,7,776,462,460,-7.987363595978615e-05,0.010244180204394679,0.003273831123523363,0.03273234608934266,0.9951969445076281,0.02398720682302772
bbox_left_5pct,corolla_hue_cos,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,627,617,10,4,816,498,498,0.00016787896102672255,0.006965340449523693,0.002541266249969143,0.03320444704351859,0.998010517653571,0.017127799736495388
bbox_left_5pct,visible_floret_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1226,24,11,1592,960,958,0.0003752917544398588,0.009095312051298444,0.005501581621304416,0.02959939557856446,0.9961686453102678,0.020427350427350426
bbox_left_5pct,visible_floret_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,609,14,7,776,462,460,0.0009908076566582254,0.008837716512613123,0.005658868258792388,0.02863365256372278,0.9969515348658877,0.02398720682302772
bbox_left_5pct,visible_floret_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,617,10,4,816,498,498,-0.00019325707090240754,0.00933325170550577,0.005102652683402625,0.031300662384463024,0.995209152396087,0.017127799736495388
bbox_left_5pct,corolla_white_pixel_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1226,24,11,1592,960,958,0.00022778323389271285,0.003827399674447668,0.001336042701794389,0.014184436246943984,0.9979005589944908,0.020427350427350426
bbox_left_5pct,corolla_white_pixel_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,609,14,7,776,462,460,1.458636698652383e-05,0.0041097594143398,0.0014425026972738966,0.014231952599981987,0.9987575347111737,0.02398720682302772
bbox_left_5pct,corolla_white_pixel_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,617,10,4,816,498,498,0.0004247120667779477,0.003566585456876621,0.0012887043340185159,0.014154604277223455,0.996839913858407,0.017127799736495388
bbox_left_5pct,corolla_redmagenta_pixel_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1226,24,11,1592,960,958,0.0007009140312757699,0.003766806575592862,0.0010005008578076787,0.01694049548942724,0.9993200499551068,0.020427350427350426
bbox_left_5pct,corolla_redmagenta_pixel_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,609,14,7,776,462,460,0.00021696869820151104,0.0041082240515057065,0.001250190116297109,0.01789825758991777,0.9992408133420552,0.02398720682302772
bbox_left_5pct,corolla_redmagenta_pixel_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,617,10,4,816,498,498,0.0011479318088142422,0.0034514410355930467,0.0007794470810903157,0.01667846986407668,0.9992941875342364,0.017127799736495388
bbox_left_5pct,corolla_purple_pixel_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1226,24,11,1592,960,958,-0.0002008519843129681,0.004484100713958631,0.000505279689529872,0.021358593067066643,0.9987046279112859,0.020427350427350426
bbox_left_5pct,corolla_purple_pixel_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,609,14,7,776,462,460,8.584373125275035e-05,0.004598290466571442,0.0007996058725740843,0.02140270493904905,0.998000543167699,0.02398720682302772
bbox_left_5pct,corolla_purple_pixel_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,617,10,4,816,498,498,-0.0004656713199760816,0.0043786242356415785,0.00030654141392783777,0.020970280243058772,0.999406149087689,0.017127799736495388
bbox_left_5pct,corolla_yellow_pixel_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1226,24,11,1592,960,958,-0.000727845280855515,0.007017437146790141,0.0031392687052435725,0.027409351906868246,0.9984997408418805,0.020427350427350426
bbox_left_5pct,corolla_yellow_pixel_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,609,14,7,776,462,460,-0.0003173987964407843,0.007623765584575927,0.0037433058497633176,0.028115052925421394,0.998510315494345,0.02398720682302772
bbox_left_5pct,corolla_yellow_pixel_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,617,10,4,816,498,498,-0.0011069725556161092,0.006457374734377568,0.0027112160007889963,0.026580966078439232,0.9983968073825804,0.017127799736495388
bbox_left_5pct,capitulum_outline_aspect_ratio,registered_endpoint,ratio,all_cached,2853,1759,1753,1136,1101,35,44,1673,870,868,0.001922340891441432,0.04515541869480184,0.027816809851717583,0.1426623518651077,0.8650284599996263,0.03515625
bbox_left_5pct,capitulum_outline_aspect_ratio,registered_endpoint,ratio,recorded_development_exposed,1406,846,842,580,559,21,20,806,429,427,-0.0012903767822304126,0.04440576379122623,0.026342219384361654,0.14109039491411407,0.8700305886207406,0.043820224719101124
bbox_left_5pct,capitulum_outline_aspect_ratio,registered_endpoint,ratio,no_recorded_development_exposure,1447,913,911,556,542,14,24,867,441,441,0.005033067527853853,0.04588127503000995,0.029201101928374662,0.1499999999999999,0.8592999932130968,0.026607538802660754
bbox_left_5pct,capitulum_outline_circularity,registered_endpoint,unitless,all_cached,2853,1759,1753,1136,1101,35,44,1673,870,868,-0.0028621887895202425,0.03137307839343243,0.02056986482997364,0.09748963593702906,0.8984481798215761,0.03515625
bbox_left_5pct,capitulum_outline_circularity,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,580,559,21,20,806,429,427,-0.0017658342429980566,0.03192585841786556,0.021671537799671486,0.09877652286513627,0.8879699030245561,0.043820224719101124
bbox_left_5pct,capitulum_outline_circularity,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,556,542,14,24,867,441,441,-0.003923738429803629,0.030837846941203523,0.019667952291063828,0.09362023720570906,0.9078061485583884,0.026607538802660754
bbox_left_5pct,capitulum_outline_solidity,registered_endpoint,unitless,all_cached,2853,1759,1753,1136,1101,35,44,1673,870,868,-0.0011236233829423124,0.018419026924614196,0.012037384579744265,0.05825385477113116,0.9271269376079312,0.03515625
bbox_left_5pct,capitulum_outline_solidity,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,580,559,21,20,806,429,427,-0.0006928133976544517,0.019273472895729483,0.01266214584257308,0.060234766231588355,0.9168971457077876,0.043820224719101124
bbox_left_5pct,capitulum_outline_solidity,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,556,542,14,24,867,441,441,-0.0015407568607607172,0.017591706222423203,0.011753959109423284,0.056426785018725556,0.9365319751977713,0.026607538802660754
bbox_left_5pct,capitulum_width_profile_cv,registered_endpoint,unitless,all_cached,2853,1759,1753,1136,1101,35,44,1673,870,868,0.001518653838971785,0.028484871932085924,0.01774285109419871,0.09293858502183298,0.8933392232122684,0.03515625
bbox_left_5pct,capitulum_width_profile_cv,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,580,559,21,20,806,429,427,0.001768437660384865,0.027555908650539647,0.01749936726395246,0.09087440435726353,0.8972516766391705,0.043820224719101124
bbox_left_5pct,capitulum_width_profile_cv,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,556,542,14,24,867,441,441,0.0012767996626829301,0.029384344315805336,0.01800438690781092,0.0995471843799933,0.88954149749143,0.026607538802660754
bbox_left_5pct,involucre_length_width_ratio,registered_endpoint,ratio,all_cached,2853,1759,1753,160,136,24,12,2681,125,124,-0.0004578513598840273,0.03877620009436718,0.009740007412693735,0.15148137010881846,0.9858001573564121,0.16216216216216217
bbox_left_5pct,involucre_length_width_ratio,registered_endpoint,ratio,recorded_development_exposed,1406,846,842,74,65,9,8,1324,60,59,-0.002018800723343408,0.03649317021889188,0.0040963262673154865,0.15721837226609345,0.9869666861484514,0.1323529411764706
bbox_left_5pct,involucre_length_width_ratio,registered_endpoint,ratio,no_recorded_development_exposure,1447,913,911,86,71,15,4,1357,65,65,0.0009590103700252595,0.04084848875056781,0.013675817550703684,0.1458506886239998,0.9857517482517482,0.1875
bbox_left_5pct,involucre_apical_taper_ratio,registered_endpoint,ratio,all_cached,2853,1759,1753,160,136,24,12,2681,125,124,0.0040064500449282425,0.05421680514041353,0.013552898702285598,0.24858103034764056,0.941878835562549,0.16216216216216217
bbox_left_5pct,involucre_apical_taper_ratio,registered_endpoint,ratio,recorded_development_exposed,1406,846,842,74,65,9,8,1324,60,59,0.0034144761705046946,0.04962097961145601,0.012845698202684774,0.2037552172526194,0.9448275862068967,0.1323529411764706
bbox_left_5pct,involucre_apical_taper_ratio,registered_endpoint,ratio,no_recorded_development_exposure,1447,913,911,86,71,15,4,1357,65,65,0.004543780177097307,0.05838840062054422,0.014260099201886423,0.2708852005634809,0.938243006993007,0.1875
bbox_left_5pct,involucre_basal_taper_ratio,registered_endpoint,ratio,all_cached,2853,1759,1753,160,136,24,12,2681,125,124,0.007008893585253752,0.04958165225701611,0.009726624610249646,0.23087656671246903,0.9128182533438237,0.16216216216216217
bbox_left_5pct,involucre_basal_taper_ratio,registered_endpoint,ratio,recorded_development_exposed,1406,846,842,74,65,9,8,1324,60,59,-0.012095526360313507,0.04265845817208802,0.009920796135596932,0.23753091709652913,0.942957334891876,0.1323529411764706
bbox_left_5pct,involucre_basal_taper_ratio,registered_endpoint,ratio,no_recorded_development_exposure,1447,913,911,86,71,15,4,1357,65,65,0.024349828612768652,0.055865782272566236,0.009257954159243575,0.22321804239411502,0.8988199300699301,0.1875
