obs_id,taxon_name,n_usable_heads,min_dimension_median,sharpness_median,involucre_projection_roughness,involucre_spread_fraction,spine_relative_length_max_proxy,coordinate_precision_tier,env_chelsa_bio01_native,env_chelsa_bio04_native,env_chelsa_bio12_native,env_chelsa_bio15_native,log_min_dimension,log1p_sharpness,resolution_stratum
13585445,Cirsium canescens,1,468.0,381.6274258284817,0.1052624743444674,0.4059405940594059,0.2260891155264991,high_le_1km,2826.0,10136.0,538.0,621.0,6.148468295917647,5.947061737208842,300_plus
13820367,Cirsium ochrocentrum,1,194.0,4103.8251802156565,0.1199278780724037,0.3663366336633663,0.2785577649403656,moderate_1_to_10km,2832.0,8802.0,388.0,463.0,5.267858159063328,8.319918433943295,150_199
13896646,Cirsium parryi,1,184.0,9216.324913192724,0.0716899627397772,0.2525252525252525,0.165195107970377,high_le_1km,2760.0,7530.0,606.0,656.0,5.214935757608986,9.128840134885062,150_199
14352732,Cirsium jaliscoense,1,231.0,964.2610625613808,0.0866391459698012,0.3076923076923077,0.2270752130985298,moderate_1_to_10km,2893.0,2039.0,1012.0,1063.0,5.442417710521793,6.872398595903722,200_299
14406003,Cirsium hesperium,1,212.0,2177.6037525429056,0.1038878473589777,0.2736842105263158,0.2999850388947951,unknown,2704.0,7675.0,1222.0,254.0,5.356586274672012,7.686439470102983,200_299
14576496,Cirsium subcoriaceum,1,345.0,4219.148163591149,0.0797661757142948,0.2191780821917808,0.155460651806634,moderate_1_to_10km,2862.0,2407.0,935.0,1012.0,5.84354441703136,8.347625516269444,300_plus
14831807,Cirsium ownbeyi,1,251.0,3516.703662346409,0.0740974899985115,0.2526315789473684,0.1545669981907848,unknown,2819.0,10693.0,299.0,338.0,5.5254529391317835,8.165563687055535,200_299
14924183,Cirsium grahamii,1,323.0,1667.7903239753116,0.1138411026629664,0.425287356321839,0.2603657166441699,unknown,2803.0,7012.0,653.0,635.0,5.777652323222656,7.419854286036572,300_plus
15077402,Cirsium anartiolepis,2,190.0,3217.1101010059742,0.08152451251855711,0.24454087346024633,0.21980485275132872,unknown,2870.0,2904.0,728.0,1023.0,5.247024072160486,8.076549541077037,150_199
15093538,Cirsium arizonicum,1,298.0,754.0325642838642,0.0801603131446888,0.2524271844660194,0.2238214736462329,high_le_1km,2726.0,8957.0,964.0,743.0,5.697093486505405,6.626760879820695,200_299
15162399,Cirsium remotifolium,1,190.0,3315.245054711911,0.0739191584417583,0.2840909090909091,0.1839877114408806,high_le_1km,2773.0,6140.0,1996.0,573.0,5.247024072160486,8.106588414221862,150_199
15981539,Cirsium drummondii,1,229.0,3618.090410954275,0.0562292279938889,0.264367816091954,0.1209478551529013,high_le_1km,2763.0,8699.0,584.0,607.0,5.43372200355424,8.193978005554612,200_299
16119762,Cirsium arvense,1,213.0,2835.228223617747,0.0942443071733875,0.3085106382978723,0.2278702418685099,high_le_1km,2767.0,11692.0,706.0,527.0,5.3612921657094255,7.950230358186303,200_299
16718870,Cirsium grahamii,2,300.0,2877.1595932850087,0.08350424442319504,0.26922284065141205,0.27386054464407955,high_le_1km,2884.0,6512.0,503.0,867.0,5.703782474656201,7.964906338753853,300_plus
17112257,Cirsium anartiolepis,3,273.0,1615.5045301859975,0.1203548665115973,0.3155339805825242,0.4217694630244947,high_le_1km,2867.0,1975.0,996.0,968.0,5.60947179518496,7.38802139962738,200_299
17138672,Cirsium neomexicanum,1,209.0,2443.156297761622,0.0875178708093192,0.3814432989690721,0.1574606110890019,high_le_1km,2890.0,7277.0,132.0,606.0,5.342334251964811,7.801455269867627,200_299
17483654,Cirsium texanum,1,211.0,798.5892133725115,0.0495267523134409,0.2,0.0884029901892124,high_le_1km,2891.0,3036.0,414.0,600.0,5.351858133476067,6.684098112505878,200_299
17731277,Cirsium mexicanum,1,200.0,670.1263808808152,0.0849615941907278,0.4,0.2244922383454716,moderate_1_to_10km,2928.0,848.0,1982.0,923.0,5.298317366548036,6.508957466301898,200_299
17931047,Cirsium oligophyllum,1,158.0,2326.1214708929947,0.099817760675889,0.3296703296703296,0.1865781699879862,unknown,2867.0,7811.0,1451.0,508.0,5.062595033026967,7.752387362581482,150_199
18555486,Cirsium falconeri,1,317.0,1073.7372049394396,0.1293381579092782,0.1408450704225352,0.3746760781507775,low_gt_10km,2894.0,4724.0,2498.0,1119.0,5.75890177387728,6.979831450154967,300_plus
18851639,Cirsium arisanense,1,158.0,3834.52479076792,0.13483235617249,0.3902439024390244,0.2361446310093328,high_le_1km,2769.0,3561.0,4768.0,666.0,5.062595033026967,8.252061546882027,150_199
19340428,Cirsium horridulum,1,199.0,1847.7570799458176,0.061219684264773,0.2727272727272727,0.170766444570329,unknown,2949.0,4578.0,1359.0,551.0,5.293304824724492,7.522268843602974,150_199
19407347,Cirsium inamoenum,1,176.0,3257.968807361166,0.1003314807112632,0.3033707865168539,0.2139502240130725,unknown,2804.0,9240.0,409.0,365.0,5.170483995038151,8.089166107561676,150_199
19613185,Cirsium hupehense,1,172.0,1628.8375571781423,0.1076715106274887,0.2954545454545454,0.2202803701733199,high_le_1km,2950.0,4101.0,2228.0,787.0,5.147494476813453,7.396235630661684,150_199
19654983,Cirsium obvallatum,1,187.0,3541.2506688713224,0.1216534431692203,0.3977272727272727,0.3202847833414046,high_le_1km,2760.0,7081.0,3031.0,158.0,5.231108616854587,8.172517586271002,150_199
19799325,Cirsium rivulare,2,177.0,879.7335164626891,0.11101896158974205,0.21049859550561795,0.3400037502670633,low_gt_10km,2811.0,8153.0,632.0,434.0,5.176149732573829,6.78075510170439,150_199
20020301,Cirsium brevifolium,1,181.0,510.0305834078357,0.1464507650171912,0.3416666666666667,0.5486629283621172,high_le_1km,2822.0,8287.0,395.0,334.0,5.198497031265826,6.236429438525939,150_199
20251234,Cirsium alatum,1,169.0,1335.0764958048164,0.0910393057137226,0.3012048192771084,0.2220003661790235,high_le_1km,2771.0,13131.0,298.0,408.0,5.1298987149230735,7.197492609796386,150_199
20287341,Cirsium macrocephalum,1,299.0,9565.903250074494,0.0668656168445308,0.2061855670103092,0.1854637950210391,high_le_1km,2709.0,8334.0,988.0,334.0,5.700443573390687,9.166064842746765,200_299
20507207,Cirsium conspicuum,1,237.0,1632.43421286616,0.091092557903178,0.2151898734177215,0.2288366883583257,moderate_1_to_10km,2880.0,1836.0,1703.0,1182.0,5.4680601411351315,7.398439956502636,200_299
21844429,Cirsium conspicuum,1,272.0,1309.5789056985843,0.1399483397812458,0.4487179487179487,0.2927775458116797,moderate_1_to_10km,2883.0,2857.0,843.0,1097.0,5.605802066295998,7.178224231327527,200_299
22672852,Cirsium bicentenariale,1,372.0,1833.223596989715,0.0882922296989788,0.2307692307692307,0.2306230488424568,moderate_1_to_10km,2898.0,2737.0,637.0,784.0,5.918893854273146,7.514376563045752,300_plus
22962912,Cirsium pinetorum,1,345.0,3827.593980667482,0.0773635629159479,0.2705882352941176,0.1571974757582619,unknown,2838.0,2448.0,555.0,835.0,5.84354441703136,8.250252907899135,300_plus
23099099,Cirsium pacificum,1,180.0,2200.013688725662,0.0979817885756463,0.3010752688172043,0.2929428529109207,moderate_1_to_10km,2940.0,2170.0,1273.0,1161.0,5.19295685089021,7.696673300828186,150_199
23127766,Cirsium conspicuum,1,162.0,1633.8676378224177,0.1490244740360933,0.3452380952380952,0.3229317763314024,high_le_1km,2887.0,1777.0,1651.0,779.0,5.087596335232384,7.399317124593988,150_199
23799551,Cirsium andrewsii,1,366.0,5164.940165123445,0.0996751792393366,0.2190323520839405,0.439664850436081,high_le_1km,2866.0,2177.0,754.0,927.0,5.902633333401366,8.549842391150351,300_plus
