taxon_name,n_observations,rank,fraction
Cirsium coahuilense,5,140,0.00010804736796611635
Cirsium falconeri,5,141,0.00010804736796611635
Cirsium heliorhaphis,5,142,0.00010804736796611635
Cirsium italicum,5,143,0.00010804736796611635
Cirsium kawakamii,5,144,0.00010804736796611635
Cirsium pinetorum,5,145,0.00010804736796611635
Cirsium souliei,5,146,0.00010804736796611635
Cirsium tatakaense,5,147,0.00010804736796611635
Cirsium velatum,5,148,0.00010804736796611635
Cirsium barnebyi,4,149,8.643789437289307e-05
Cirsium consociatum,4,150,8.643789437289307e-05
Cirsium eriophoroides,4,151,8.643789437289307e-05
Cirsium hygropodum,4,152,8.643789437289307e-05
Cirsium irumtiense,4,153,8.643789437289307e-05
Cirsium leo,4,154,8.643789437289307e-05
Cirsium lipskyi,4,155,8.643789437289307e-05
Cirsium osseticum,4,156,8.643789437289307e-05
Cirsium peckii,4,157,8.643789437289307e-05
Cirsium perplexans,4,158,8.643789437289307e-05
Cirsium suzukaense,4,159,8.643789437289307e-05
Cirsium sychnosanthum,4,160,8.643789437289307e-05
Cirsium tukuhnikivatzicum,4,161,8.643789437289307e-05
Cirsium tymphaeum,4,162,8.643789437289307e-05
Cirsium aomorense,3,163,6.482842077966981e-05
Cirsium bertolonii,3,164,6.482842077966981e-05
Cirsium bicentenariale,3,165,6.482842077966981e-05
Cirsium ciliolatum,3,166,6.482842077966981e-05
Cirsium clokeyi,3,167,6.482842077966981e-05
Cirsium czerkessicum,3,168,6.482842077966981e-05
Cirsium elbrusense,3,169,6.482842077966981e-05
Cirsium erythrolepis,3,170,6.482842077966981e-05
Cirsium hidalgoense,3,171,6.482842077966981e-05
Cirsium hupehense,3,172,6.482842077966981e-05
Cirsium komarovii,3,173,6.482842077966981e-05
Cirsium latifolium,3,174,6.482842077966981e-05
Cirsium macrocephalum,3,175,6.482842077966981e-05
Cirsium otayae,3,176,6.482842077966981e-05
Cirsium radians,3,177,6.482842077966981e-05
Cirsium rhinoceros,3,178,6.482842077966981e-05
Cirsium spinosum,3,179,6.482842077966981e-05
Cirsium taiwanense,3,180,6.482842077966981e-05
Cirsium uliginosum,3,181,6.482842077966981e-05
Cirsium wallichii,3,182,6.482842077966981e-05
Cirsium yatsu-alpicola,3,183,6.482842077966981e-05
Cirsium yezoense,3,184,6.482842077966981e-05
Cirsium arachnoideum,2,185,4.321894718644654e-05
Cirsium arctorhaphis,2,186,4.321894718644654e-05
Cirsium argyracanthum,2,187,4.321894718644654e-05
Cirsium borealinipponense,2,188,4.321894718644654e-05
Cirsium chinense,2,189,4.321894718644654e-05
Cirsium chionanthum,2,190,4.321894718644654e-05
Cirsium gagnidzei,2,191,4.321894718644654e-05
Cirsium hachijoense,2,192,4.321894718644654e-05
Cirsium libanoticum,2,193,4.321894718644654e-05
Cirsium lineare,2,194,4.321894718644654e-05
Cirsium loncholepis,2,195,4.321894718644654e-05
Cirsium longistylum,2,196,4.321894718644654e-05
Cirsium macrobotrys,2,197,4.321894718644654e-05
Cirsium michiliense,2,198,4.321894718644654e-05
Cirsium morii,2,199,4.321894718644654e-05
Cirsium morinifolium,2,200,4.321894718644654e-05
Cirsium murdockii,2,201,4.321894718644654e-05
Cirsium notorhaphis,2,202,4.321894718644654e-05
Cirsium oaxacanum,2,203,4.321894718644654e-05
Cirsium sintenisii,2,204,4.321894718644654e-05
Cirsium skutchii,2,205,4.321894718644654e-05
Cirsium tenuipedunculatum,2,206,4.321894718644654e-05
Cirsium tepehuanense,2,207,4.321894718644654e-05
Cirsium viperinum,2,208,4.321894718644654e-05
Cirsium acantholepis,1,209,2.160947359322327e-05
Cirsium alberti,1,210,2.160947359322327e-05
Cirsium babanum,1,211,2.160947359322327e-05
Cirsium boninense,1,212,2.160947359322327e-05
Cirsium botryodes,1,213,2.160947359322327e-05
Cirsium bracteosum,1,214,2.160947359322327e-05
Cirsium buergeri,1,215,2.160947359322327e-05
Cirsium chanroenicum,1,216,2.160947359322327e-05
Cirsium charkeviczii,1,217,2.160947359322327e-05
Cirsium chellyense,1,218,2.160947359322327e-05
Cirsium chokaiense,1,219,2.160947359322327e-05
Cirsium confertissimum,1,220,2.160947359322327e-05
Cirsium dyris,1,221,2.160947359322327e-05
Cirsium elodes,1,222,2.160947359322327e-05
Cirsium faucium,1,223,2.160947359322327e-05
Cirsium gilense,1,224,2.160947359322327e-05
Cirsium gratiosum,1,225,2.160947359322327e-05
Cirsium hachimantaiense,1,226,2.160947359322327e-05
Cirsium harrisonii,1,227,2.160947359322327e-05
Cirsium heterotrichum,1,228,2.160947359322327e-05
Cirsium hidakamontanum,1,229,2.160947359322327e-05
Cirsium hosokawae,1,230,2.160947359322327e-05
Cirsium hydrophilum,1,231,2.160947359322327e-05
Cirsium isophyllum,1,232,2.160947359322327e-05
Cirsium joannae,1,233,2.160947359322327e-05
Cirsium kirishimense,1,234,2.160947359322327e-05
Cirsium leucocephalum,1,235,2.160947359322327e-05
Cirsium luzoniense,1,236,2.160947359322327e-05
Cirsium magdalenense,1,237,2.160947359322327e-05
Cirsium monocephalum,1,238,2.160947359322327e-05
Cirsium myokoense,1,239,2.160947359322327e-05
Cirsium nambuense,1,240,2.160947359322327e-05
Cirsium nipponicum,1,241,2.160947359322327e-05
Cirsium norikurense,1,242,2.160947359322327e-05
Cirsium opacum,1,243,2.160947359322327e-05
Cirsium ownbeyi,1,244,2.160947359322327e-05
Cirsium pubigerum,1,245,2.160947359322327e-05
Cirsium rupinarum,1,246,2.160947359322327e-05
Cirsium shansiense,1,247,2.160947359322327e-05
Cirsium sipyleum,1,248,2.160947359322327e-05
Cirsium spicatum,1,249,2.160947359322327e-05
Cirsium suffultum,1,250,2.160947359322327e-05
Cirsium tamastoloniferum,1,251,2.160947359322327e-05
Cirsium tancitaroense,1,252,2.160947359322327e-05
Cirsium tenorioanum,1,253,2.160947359322327e-05
Cirsium valentinum,1,254,2.160947359322327e-05
Cirsium vergelense,1,255,2.160947359322327e-05
Cirsium welwitschii,1,256,2.160947359322327e-05
Cirsium yakusimense,1,257,2.160947359322327e-05
Cirsium zamoranense,1,258,2.160947359322327e-05
Cirsium zhejiangense,1,259,2.160947359322327e-05
