replicate,matrix_alignment_rho,median_within_rv,median_among_rv,relations_stronger_among
58,0.5166023166023166,0.003923267698749756,0.12244110630011862,34
59,0.2918918918918919,0.005938397982037939,0.05464011531571354,29
60,0.3722007722007722,0.007506865207084733,0.04519373313078286,33
61,0.1287001287001287,0.004285799097474516,0.07475286988204753,31
62,0.17657657657657658,0.005527823984132284,0.09522835499781529,29
63,0.1603603603603604,0.005292890478753962,0.059440496462918345,33
64,0.37194337194337196,0.003312477817091709,0.06128181510336313,33
65,0.13770913770913773,0.005257346203887737,0.07935291027127708,31
66,0.416988416988417,0.008274284306522578,0.08710115467260302,31
67,0.6066924066924068,0.003463685103860093,0.05294806339499357,34
68,0.3845559845559846,0.005607651185463433,0.10831579902844313,34
69,0.30193050193050197,0.008314161877109144,0.09389464642427375,29
70,0.38223938223938225,0.004654296967446538,0.09834823954863964,33
71,0.32355212355212354,0.008539764738206074,0.055510185226028526,32
72,0.41827541827541836,0.01273392305364493,0.09995410092230594,32
73,0.216988416988417,0.0065207431230698935,0.08757328144091236,34
74,0.07052767052767053,0.0030415892666737394,0.05404268564292221,29
75,0.3778635778635779,0.006294244700716421,0.0942504251942601,32
76,0.22934362934362934,0.00578444734630048,0.05609647564798866,31
77,0.2810810810810811,0.00656911308436937,0.07453342946577786,32
78,0.39768339768339767,0.005925430415909812,0.0615465299292446,33
79,0.3518661518661519,0.005386469231718023,0.09827388530475178,33
80,0.13462033462033463,0.004125543954746281,0.03817760730804462,32
81,0.35778635778635787,0.0063673819791641075,0.058971801220141624,33
82,0.2888030888030888,0.004863757318119267,0.07970749070017216,31
83,0.23655083655083659,0.004949794157984607,0.0395683748924107,31
84,0.3073359073359074,0.004123048403509191,0.12319799926482788,32
85,0.305019305019305,0.004379234661462909,0.09735261256399473,32
86,0.6136422136422137,0.004155637829294601,0.06342771250750409,34
87,0.5045045045045046,0.005369777861290288,0.07289857424641391,30
88,0.2921492921492922,0.008709601227331682,0.09515763670859934,33
89,0.2733590733590734,0.0020093720859334255,0.04940842777129337,32
90,0.5042471042471043,0.003220573610496273,0.09804681483809904,35
91,0.06357786357786357,0.005030967905213861,0.07140519103550652,29
92,0.5109395109395111,0.0071090503929815765,0.062117702144436404,32
93,0.36602316602316604,0.003692035378922893,0.058549510002932265,33
94,0.47129987129987133,0.006559768799249325,0.050139376833693905,30
95,0.3482625482625483,0.008793706394922527,0.11492272446872798,33
96,0.33204633204633205,0.006042756185155985,0.06390749919830016,31
97,0.2903474903474904,0.0067982060588770675,0.051191731536644317,30
98,0.24221364221364225,0.004598894116252847,0.0470874870389531,32
99,0.4700128700128701,0.0037392692677626796,0.051793834884430054,34
100,0.1837837837837838,0.006294343832752597,0.07879618029721461,31
101,0.6476190476190478,0.005081387559804846,0.06711428755853915,33
102,0.30321750321750324,0.003522901436377769,0.04280636727181957,28
103,0.2460746460746461,0.004370149907182002,0.07086098331105496,32
104,0.2658944658944659,0.005157662747807511,0.09277479504337269,31
105,0.28442728442728443,0.0051525014498850705,0.07993309057945269,34
106,0.3341055341055341,0.004019154989442509,0.04516332699760605,30
107,0.24916344916344915,0.009830942291494914,0.05561705662761454,31
108,0.2808236808236808,0.0034811415395018734,0.07153185131757975,34
109,0.5078507078507078,0.00957034131451017,0.0629468321046103,33
110,0.41081081081081083,0.0057597621286782875,0.05074107442869942,32
111,-0.027284427284427287,0.00835760777809667,0.06905484531983519,30
112,0.21853281853281856,0.004333191172210004,0.052342917150389405,33
113,0.27464607464607466,0.008644972098545802,0.05045126116284484,32
114,0.528957528957529,0.0056443696039748265,0.07656685183653349,32
115,0.2285714285714286,0.007105354848235753,0.09640726820583864,33
116,0.2808236808236808,0.0030242359929922797,0.07032568044084736,30
117,0.2993564993564994,0.0048917318754045855,0.03902687125144069,30
118,0.26563706563706563,0.004235794888606968,0.0597336970856793,30
119,0.36962676962676966,0.005259459100393581,0.09897133353453905,35
120,0.44581724581724586,0.006730345902421495,0.06040863335749255,31
121,0.2,0.004776194081551189,0.10880587244693049,32
122,-0.04890604890604891,0.004341977167370923,0.06311987464208665,30
123,0.2710424710424711,0.006229780749477162,0.10355965532891756,31
124,0.4996138996138996,0.004109455910317127,0.07483411506599338,34
125,0.2903474903474904,0.005327271129956638,0.0780832751630654,30
126,0.24684684684684685,0.003156696241057173,0.051935930421807275,29
127,0.39588159588159594,0.0046976145161914075,0.06979664278396312,34
128,0.3701415701415702,0.006016770149984862,0.07220184834826614,31
129,0.43835263835263844,0.011786157074582864,0.10552521009961824,31
130,0.04195624195624196,0.0035541838226912682,0.06685090972398955,30
131,0.11943371943371943,0.004782584302136074,0.10235913350648859,33
132,0.4949806949806951,0.006230391804457023,0.05719169963675031,32
133,0.312998712998713,0.003557174478534675,0.03315335972682246,32
134,0.3742599742599743,0.005284683037463798,0.10226585022373141,32
135,0.3732303732303733,0.006610505134414961,0.07524623734132327,32
136,0.4471042471042472,0.005468538620505916,0.08172374411317773,31
137,0.2254826254826255,0.006939913137436173,0.06428614753531633,30
138,0.3253539253539254,0.01062158045891632,0.11997866551581762,32
139,0.22960102960102963,0.005449862450455497,0.06961105399850873,31
140,0.2501930501930502,0.0037969748280993537,0.09688378494833946,33
141,0.35366795366795367,0.005269005644949068,0.0748877145685394,35
142,0.1595881595881596,0.005367112756224188,0.14864137962422713,32
143,0.3284427284427285,0.007410040830184099,0.057562200394904846,31
144,0.38018018018018024,0.006148366052745885,0.05976817501718598,32
145,0.2684684684684685,0.0048533255446341,0.04524144937683566,30
146,0.14491634491634495,0.003534851629308164,0.0639877857405479,32
147,0.4797940797940798,0.0034834054166904367,0.032707332710442474,33
148,0.15624195624195625,0.006072176776804956,0.12698826055282098,33
149,0.19562419562419564,0.005196819838682247,0.08724944742099844,30
150,-0.02290862290862291,0.005565043688522217,0.04793222933254483,28
151,0.18404118404118405,0.007220702448980047,0.06411892406767071,30
152,0.31531531531531537,0.005931895179459785,0.0753163260415157,29
153,0.10604890604890606,0.005128694362411766,0.06376239414275596,27
154,0.32921492921492923,0.003812962620904195,0.09191375449885045,33
155,0.21106821106821108,0.00978652891586217,0.1134807158823602,30
156,0.4870012870012871,0.006178269428910148,0.0564573828830139,32
157,0.03191763191763192,0.00495834181482467,0.06815926996067495,31
158,0.2962676962676963,0.0047593254421664415,0.06269670767092522,33
159,0.32715572715572716,0.005910936683604519,0.10377475648629197,32
160,0.30630630630630634,0.00493191305677824,0.08368692235275396,31
161,-0.005148005148005148,0.004095860569721763,0.052142930317589445,29
162,0.2885456885456885,0.004015002100493066,0.06884424113605328,32
163,0.3083655083655084,0.004828435421501886,0.08931134255488565,31
164,0.3415701415701416,0.005502391460068201,0.06018592679803522,29
165,0.35881595881595885,0.004188224727083014,0.05201600099235408,34
166,0.3101673101673102,0.007159953119486671,0.062340436388041105,31
167,0.11145431145431146,0.005032245018785398,0.08959712650128396,30
168,0.5606177606177606,0.005700653969603843,0.05984844996729913,32
169,0.4450450450450451,0.00454646746167146,0.06775520898019463,33
170,0.2187902187902188,0.003869123461005321,0.06500485302905519,31
171,0.30810810810810807,0.005091530964690612,0.040177241360609184,31
172,0.2193050193050193,0.005078265884602416,0.08588444472422813,33
173,0.38764478764478766,0.00502612510493344,0.06006981721477274,33
174,0.31119691119691123,0.008235969015186216,0.08482560258728772,32
175,0.05765765765765766,0.004772709837841461,0.08698301120032108,29
176,0.37580437580437587,0.0035794533346234286,0.07854699511955868,32
177,0.4877734877734877,0.007681508198948394,0.06130528797688724,31
178,0.28648648648648656,0.0032026565413892072,0.06637684799638803,32
179,0.41106821106821106,0.004530887608459676,0.10010769690065323,34
180,0.5057915057915059,0.006655990024619954,0.09436355020982004,34
181,0.11891891891891891,0.005147400277514249,0.05984476774420401,29
182,0.3886743886743887,0.0036626307712823046,0.09278041999594747,32
183,0.33770913770913774,0.007459222227565655,0.0993560579855858,32
184,0.17194337194337195,0.004070161524241878,0.07859052980509712,31
185,0.17683397683397684,0.005502938078405473,0.10584176228456149,34
186,0.29755469755469754,0.014360583545732723,0.09230132248941841,31
187,0.26949806949806954,0.004404293317180603,0.0792900881281738,30
188,-0.06460746460746461,0.005263595184149747,0.0745307744294805,31
189,0.33333333333333337,0.004103010360696276,0.09556581145434107,34
190,0.14362934362934363,0.005141893117202331,0.08874437160994719,31
191,0.4406692406692407,0.006330420100273697,0.06876257292908056,32
192,-0.023938223938223938,0.007165634728070516,0.1016525624658925,30
193,0.060746460746460756,0.006042656939420722,0.06763124608455265,32
194,-0.009266409266409266,0.0036122605874075947,0.09185636584846066,33
195,0.4247104247104247,0.0043439439256149955,0.0657472035858945,34
196,0.2574002574002574,0.011475219286422717,0.09059047953835361,31
197,0.2733590733590734,0.009649669395426386,0.09645625586147608,31
198,0.26126126126126126,0.004030382212123663,0.1114643493661521,33
199,0.3384813384813385,0.004891779496185933,0.07819189586408676,34
200,0.16241956241956243,0.0035497403349972097,0.1012225933278808,32
201,0.45637065637065644,0.002268310603861324,0.05550881490854892,35
202,0.3845559845559846,0.006059590661918706,0.05581962711460502,29
203,0.39639639639639646,0.00820149424499024,0.08291914382789828,29
204,0.42960102960102964,0.0025219353870132534,0.04697663322851261,32
205,0.31480051480051485,0.004922140566505228,0.047975687740279396,32
206,0.39819819819819824,0.005264065763771614,0.09762408073489318,33
207,0.31891891891891894,0.00432745435855778,0.049764427520437665,32
208,0.31969111969111974,0.004470896762803933,0.061854240755732426,34
209,0.1052767052767053,0.006360148046030292,0.08702907922337996,32
210,0.2715572715572716,0.006685437202140812,0.13375376954381146,32
211,0.4960102960102961,0.0039504585398691125,0.0717480530889,33
212,0.1590733590733591,0.00811860224610569,0.10046527180516476,32
213,0.38172458172458174,0.00511248511686908,0.08315765985486107,31
214,0.3433719433719434,0.011227367899877022,0.07526092251340114,31
215,0.2810810810810811,0.005452921051613681,0.055808708682755004,28
216,0.27232947232947236,0.007109586493897155,0.06313635969242559,34
217,0.3768339768339769,0.011022740442555082,0.11876112973673428,33
218,0.22522522522522526,0.005186295164788781,0.06352457726466229,32
219,0.26949806949806954,0.007256440392577446,0.07323745086778986,31
220,0.19794079794079797,0.006592848354307033,0.0626790967264184,33
221,0.3500643500643501,0.008379686864348087,0.08064747933438293,33
222,0.28803088803088805,0.004980118201867735,0.05841869338966234,32
223,0.33204633204633205,0.005609327473423986,0.05158269347365525,32
224,0.23938223938223938,0.005267487218667177,0.07719747975194471,32
225,0.019819819819819822,0.004041041024650175,0.06508622123337848,31
226,0.40772200772200773,0.0033169007269133934,0.0690449894727127,33
227,0.3644787644787645,0.006503735643684226,0.10385228459711066,33
228,0.33513513513513515,0.005978605837842762,0.09587357649933907,33
229,0.30913770913770916,0.005372070790578852,0.06979002932653762,32
230,0.2808236808236808,0.006035681505574939,0.07213440960219786,32
231,0.2633204633204633,0.006481040807671033,0.1255816966666894,30
232,0.13487773487773488,0.0068172551872449786,0.08207843727050254,30
233,0.04144144144144144,0.004053339035064887,0.091084464028438,31
234,0.27541827541827546,0.0038348511546989743,0.07434245407413445,32
235,0.3897039897039897,0.004981306003795771,0.07221709715802127,32
236,0.36679536679536684,0.0036989017802998517,0.0677763308249549,32
237,0.2571428571428572,0.006347017888527987,0.08108508570178233,32
238,0.32123552123552124,0.003972447860661367,0.07426824510219451,30
239,0.26126126126126126,0.007294761469300446,0.08170148937045904,33
240,0.15675675675675677,0.006895817794028391,0.07247769153961447,32
241,0.27670527670527667,0.009956557073354678,0.052549949069861754,28
242,0.3052767052767053,0.004450104939665175,0.04380322079724332,32
243,0.3845559845559846,0.002176339795329517,0.06287851874534182,32
244,0.3624195624195624,0.011085932168729367,0.12398159168683756,30
245,0.4051480051480052,0.0019302641703163289,0.06850807479443721,33
246,0.2007722007722008,0.008738477454116125,0.07936391209663385,30
247,0.49009009009009014,0.003235734040024391,0.10304473550282439,33
248,0.39202059202059203,0.005068913158183358,0.10806837361092847,31
249,0.20952380952380953,0.004028321315334128,0.08917754739604442,31
250,0.17863577863577867,0.00656725081214735,0.09352026977788094,32
251,0.3364221364221364,0.004877643195694462,0.06505573117797295,30
252,0.21235521235521235,0.00802825741881989,0.075939242597725,29
253,0.3127413127413128,0.004623753158684055,0.06954736757096308,32
254,0.3178893178893179,0.00454500850340662,0.07610173258514269,30
255,0.4126126126126126,0.00519761076074059,0.08785558231309484,34
256,0.1698841698841699,0.005275483419496827,0.055037263482555,30
257,0.32123552123552124,0.005028193621911129,0.06208210224605963,30
258,0.3657657657657658,0.00399464556772162,0.06464204490768535,31
259,0.5214929214929216,0.005177691824299875,0.07352641378150396,33
260,0.14903474903474903,0.004568376328599817,0.064747650979485,32
261,0.30424710424710427,0.0039613955984965175,0.05734880797479731,32
262,0.20360360360360363,0.005435231035442299,0.06449662933100636,32
263,0.44530244530244534,0.004650426646056022,0.06301846067624803,32
264,0.3642213642213643,0.005131564876297839,0.06295563328913528,32
265,0.45353925353925356,0.005798808288074723,0.05811627636180858,33
266,0.4416988416988417,0.00455493633491375,0.0697010288266087,35
267,0.5791505791505791,0.004975705746816706,0.052334078942355686,29
268,0.09652509652509651,0.0025171537440989867,0.08359657459605412,32
269,0.09806949806949808,0.006373802728698339,0.08276396560674684,33
270,0.34620334620334625,0.0056429374227177954,0.06545854347467497,34
271,0.40025740025740025,0.0035217392667306726,0.08830716487084825,33
272,0.2175032175032175,0.008646712791677726,0.07343750606268057,31
273,0.418018018018018,0.0045748731716916445,0.08111452955082987,34
274,0.3225225225225225,0.005513291563698066,0.0841493806336118,31
275,0.4288288288288289,0.004972185099857541,0.053617833001759,32
276,0.3608751608751609,0.004766458732717202,0.08912011770251223,30
277,0.4131274131274132,0.006983114424695952,0.08371880365443365,32
278,0.20283140283140283,0.006298467991829634,0.054936421978355326,30
279,0.4012870012870014,0.005508971957568425,0.06837529741510848,32
280,0.4344916344916345,0.007106607883693062,0.05581746709061135,31
281,0.2926640926640927,0.0039678449322563415,0.07267186746850872,32
282,0.16911196911196916,0.0041353425740765695,0.06199530341115323,31
283,0.4646074646074646,0.004955011769421886,0.061661145816819835,31
284,0.13822393822393822,0.008757566927385604,0.051852679125556314,31
285,0.5029601029601031,0.0031403848635136555,0.07547358093750198,31
286,0.2398970398970399,0.004667340065135139,0.06681491735220055,30
287,0.2633204633204633,0.005206236952077123,0.07186765916711788,30
288,0.30630630630630634,0.003300900677951458,0.05881989742557462,31
289,0.41570141570141567,0.004479723526322246,0.05285277775755295,31
290,0.4921492921492922,0.0037521045132335295,0.06701984309746546,31
291,0.28545688545688547,0.00477010679179067,0.06064052583258346,29
292,0.44633204633204643,0.006367473648809163,0.06677910402223788,33
293,0.00025740025740025744,0.006405250708859887,0.04495286201733513,28
294,0.14774774774774774,0.007971547961637952,0.07018780547424139,29
295,0.5052767052767053,0.003172213605419204,0.08914086232225117,34
296,0.3662805662805663,0.014723429597485033,0.11053002709668344,31
297,0.45559845559845563,0.015463140064465293,0.10190371387767132,32
298,0.33745173745173745,0.00469095388045618,0.042666599250042014,33
299,0.2867438867438868,0.006031759552448779,0.06641267281401608,32
300,0.3410553410553411,0.008510800134076991,0.07843545194535509,31
301,0.46563706563706564,0.0048742113985709695,0.05385246528817926,33
302,0.04041184041184042,0.005078435877020479,0.07745438481230038,32
303,0.3871299871299871,0.006946110379418939,0.06698820117812773,33
304,0.23886743886743886,0.0071035342821492205,0.08910124090778723,32
305,0.30321750321750324,0.004281897505457934,0.050279394018438964,33
306,0.2712998712998713,0.004492712057357112,0.08425102728219874,33
307,0.23861003861003863,0.004795348545322658,0.06959897905565542,34
308,0.16422136422136424,0.004359205103197643,0.079161114756291,31
309,0.3364221364221364,0.00746707797255158,0.06799497394614337,30
310,0.24658944658944662,0.006270287678116241,0.06749942380504259,32
311,0.4131274131274132,0.00667108089955217,0.06289107311577577,35
312,0.12200772200772203,0.00453397502071253,0.04426685174662971,30
313,0.4571428571428572,0.004888840520245212,0.05261997760082339,31
314,0.46795366795366794,0.0044618631153822835,0.06948842707502917,32
315,0.056885456885456896,0.006912391567329056,0.10692650896854838,32
316,0.1758043758043758,0.005144504829812503,0.06446287216592002,30
317,0.5348777348777349,0.007000019772031193,0.1000278686897212,33
318,0.07490347490347489,0.004171738465281247,0.05159885155965756,32
319,0.05791505791505792,0.006821998206776883,0.07922953343708145,30
320,0.47464607464607467,0.002975448385212273,0.06475035568033935,32
321,-0.0398970398970399,0.0055313068023377,0.06488397521510841,32
322,0.07541827541827544,0.009944663265699281,0.07192637872618911,29
323,0.1588159588159588,0.006403088471492198,0.06767936892998748,32
324,0.5341055341055342,0.004567730907951468,0.0743720236265093,29
325,0.15727155727155726,0.005502485780769969,0.05792221140284262,32
326,0.1940797940797941,0.005826582878731017,0.06382557894241084,32
327,0.3603603603603604,0.006177203877588184,0.05607254151885903,31
328,0.13848133848133848,0.004296881965286672,0.0769519190699191,33
329,0.42007722007722015,0.006555762228003841,0.052610742372736295,33
330,0.24504504504504507,0.004834961754067273,0.08667903169623639,29
331,0.28211068211068213,0.005565304721556056,0.04423803384390304,32
332,0.2738738738738739,0.00418285281696593,0.07524044693757932,31
333,0.3052767052767053,0.004245979571136007,0.07263909252234563,34
334,0.08803088803088803,0.002970247277141586,0.08874924961697386,30
335,0.2782496782496783,0.009113297038408984,0.053762030648111844,32
336,0.42574002574002573,0.020925074223682342,0.0884516442396576,30
337,0.43963963963963965,0.007644462912633729,0.05712208752744687,30
338,0.4985842985842986,0.005216041894859355,0.07208488724031702,31
339,0.34079794079794085,0.004108450383084354,0.09272109492268787,34
340,0.2005148005148005,0.004729548237788449,0.057978448791755066,32
341,0.4247104247104247,0.004188895304295283,0.05361017202582881,32
342,0.2921492921492922,0.004876953703504255,0.07569019310630419,32
343,0.2918918918918919,0.0046783696495253475,0.08003181876673243,32
344,0.4229086229086229,0.006005778390375109,0.06047337968993974,32
345,0.4028314028314029,0.004917273372031128,0.06338141741351908,34
346,0.4723294723294723,0.005414257544955498,0.06412156547199153,32
347,0.23886743886743886,0.00333820371637402,0.06936679524316172,34
348,0.23037323037323038,0.004292071872755657,0.048577012563990954,33
349,0.08185328185328186,0.005098259288386666,0.0684927528068571,30
350,0.4908622908622909,0.005745745224356117,0.07548839848449179,29
351,0.44993564993564994,0.004518133384507116,0.0625042268203687,32
352,0.34259974259974263,0.0034528405287754292,0.07166669142434184,30
353,0.24916344916344915,0.00426776530097378,0.10406597525025034,31
354,0.38043758043758047,0.003948802848419402,0.08369697465019324,33
355,0.3742599742599743,0.006506936064685734,0.0712552062860511,33
356,0.4311454311454312,0.005282174129335785,0.0381551633029463,29
357,0.09446589446589447,0.004552531529562181,0.06888844742918404,33
358,0.48494208494208496,0.00365480315844251,0.0873713438013031,33
359,-0.0435006435006435,0.005617298854941312,0.11410203891697301,32
360,0.31145431145431146,0.0075985388115235,0.12007121118650227,32
361,0.22419562419562422,0.005576340267176615,0.061400361179018516,31
362,0.3763191763191764,0.004868292196549474,0.08337405965896821,30
363,0.4247104247104247,0.007620954614268415,0.07125478736930613,30
364,0.43320463320463326,0.004348353143814829,0.031391403926356046,32
365,0.2084942084942085,0.0046891391297084525,0.07837050914266575,32
366,0.36319176319176316,0.0034113220700117924,0.08878196513809519,33
367,0.41081081081081083,0.005053668846168676,0.06336992612281228,34
368,0.2990990990990991,0.006592552263660834,0.08615841853900238,32
369,0.1250965250965251,0.009389417605452297,0.08107415022037395,33
370,0.3027027027027027,0.005844398659269053,0.0682800308991103,32
371,0.4229086229086229,0.005491223895244816,0.06898009979157187,32
372,-0.10476190476190476,0.0045678951288668085,0.06048621995472561,34
373,0.21106821106821108,0.008721953674514046,0.07881460535464324,33
374,0.3341055341055341,0.007928786446112147,0.053598040531978336,34
375,0.3984555984555985,0.00449179529299414,0.12389426419823696,31
376,0.3601029601029601,0.0058914375800431925,0.0945447918429375,32
377,0.294980694980695,0.004572339725894915,0.08069778401568539,32
378,0.4373230373230374,0.006448620420718882,0.07974675183824442,33
379,0.2635778635778636,0.005947669763187979,0.07679828485682905,30
380,0.18043758043758046,0.005165731807887796,0.09701306314863661,33
381,0.4370656370656371,0.006161578763611265,0.08327514752544951,31
382,0.16756756756756758,0.004433953113980541,0.08713828549063836,32
383,0.4226512226512227,0.0037811133771840136,0.06629474457607872,33
384,0.31222651222651226,0.004095223728124209,0.042297738977790614,28
385,0.4442728442728443,0.00395985281192507,0.04637901099167029,32
386,0.27722007722007724,0.003464558072514996,0.05400212000865325,32
387,0.47799227799227806,0.00737333357931731,0.06693649237947435,32
388,0.4622908622908623,0.004794193812066657,0.09001833111499002,32
389,0.3338481338481339,0.008444202094261851,0.09563148472666982,32
390,0.2563706563706564,0.007178538419315783,0.06913799655165537,30
391,0.23114543114543115,0.008944811810352622,0.09556984597325816,32
392,0.3418275418275419,0.007458527293775304,0.133636700099204,33
393,0.28648648648648656,0.0061869931868906896,0.07167130208673853,31
394,0.3552123552123553,0.003590222273069801,0.06793582308847293,33
395,0.4682110682110682,0.005338628992957197,0.09738924897732942,34
396,0.3338481338481339,0.009431093065086167,0.09013692424965147,30
397,0.4604890604890605,0.005811039793911816,0.07870194223775004,33
398,0.35675675675675683,0.004698620904802348,0.11397772053687996,34
399,0.42239382239382245,0.0045790905600435715,0.0662201308522251,32
400,0.1842985842985843,0.004627408589360196,0.07829038647738505,28
401,0.112998712998713,0.004518540782820076,0.08973688637158733,31
402,0.48751608751608755,0.006863683940136202,0.08499344872881646,33
403,0.5464607464607465,0.003034495834809999,0.061190714639088414,33
404,0.21312741312741315,0.003813782846354563,0.06624555162837056,32
405,0.2187902187902188,0.004463530462002143,0.07727626569726309,29
406,0.1655083655083655,0.007252575903471432,0.0892413114332715,32
407,0.5341055341055342,0.004215208388887916,0.05785486632923543,34
408,0.355984555984556,0.0034506805440641082,0.08216142671418561,34
409,0.11042471042471043,0.0038976730155641567,0.05170986541970708,32
410,0.3608751608751609,0.0034710563346483946,0.07634002443555016,29
411,0.3410553410553411,0.003013728093141584,0.07947483233110625,32
412,0.45276705276705276,0.0051297270138232695,0.07742768273861336,30
413,0.4007722007722008,0.007639019750220334,0.08542522189265753,30
414,0.25302445302445303,0.00344919917077523,0.05085663978833041,32
415,0.32226512226512233,0.00452793408498435,0.055844585489892316,33
416,0.28288288288288294,0.005258743164695934,0.08659306821505844,33
417,0.3894465894465895,0.005606246803656321,0.09361350558010663,33
418,0.13822393822393822,0.0033282196592315117,0.05042397707465536,31
419,0.0453024453024453,0.006489042181934231,0.07851947496630053,32
420,-0.14362934362934363,0.006512882289026899,0.04506290565571048,28
421,0.48211068211068214,0.007223403570131468,0.13065234035755333,31
422,0.5083655083655083,0.006416275430814554,0.08794604601554618,32
423,0.2602316602316603,0.00851998156198919,0.1095085787842796,33
424,0.30347490347490347,0.006193475254804497,0.0867352770507844,29
425,0.22368082368082373,0.005091719899374229,0.056365611105714974,26
426,0.32149292149292147,0.0027351645984196146,0.06613147202474193,31
427,0.4033462033462034,0.005008199697833841,0.09111484169340403,31
428,0.23912483912483914,0.0075049761809059265,0.13198426888228845,34
429,0.26383526383526384,0.005596638474081795,0.07957950664100684,29
430,0.06975546975546977,0.007876842700340642,0.08245241167620787,31
431,0.436036036036036,0.003928083269812893,0.0877819230386351,33
432,0.2893178893178894,0.004024621869783142,0.05480188104120085,34
433,0.4870012870012871,0.0037987203781582376,0.06196118477854726,29
434,0.2836550836550837,0.007329396835584442,0.06274091800548631,32
435,0.3521235521235521,0.00379674428485394,0.07186279168089613,32
436,0.47696267696267697,0.007220794365291062,0.04688157074091004,33
437,0.1745173745173745,0.00549703680037947,0.05943459023262532,27
438,0.15804375804375803,0.00454386822793544,0.03344980388976631,30
439,0.3917631917631918,0.005039217465069719,0.08497150822675659,34
440,0.17657657657657658,0.004893407053976114,0.06869168798375991,28
441,0.24864864864864866,0.006185285449955816,0.07721812954819404,33
442,0.17631917631917632,0.006866705023292428,0.11069616631370666,33
443,0.42213642213642216,0.005527806555244735,0.07206918042558462,34
444,0.38404118404118404,0.006294728591263189,0.11331705314170103,29
445,0.1868725868725869,0.004685370511872571,0.06915543565399807,32
446,0.48005148005148013,0.005971063035989106,0.06954683624322044,33
