scale,predictor,construct,mean_squared_slope,statistic_share,component_slopes
among_taxon,chelsa_bio12,presentation_angle,0.0018357480033373299,0.015139821046528197,[0.04284562992111716]
among_taxon,chelsa_bio12,floral_lightness,0.010705871051924274,0.08829369367618808,[-0.10346917923673829]
among_taxon,chelsa_bio12,floral_chroma,0.009669606828881759,0.0797473927322342,[0.09833415901344639]
among_taxon,chelsa_bio12,floral_hue,0.004663538875485817,0.038461239718101156,"[-0.07019490190755853, 0.06633063769601397]"
among_taxon,chelsa_bio12,head_elongation,0.00040836920060510995,0.0033679113946115196,[-0.02020814688696393]
among_taxon,chelsa_bio12,head_compactness,0.028111371315042974,0.23184071577827006,[-0.16766446050085562]
among_taxon,chelsa_bio12,involucre_form,0.020472257621896837,0.16883925040390552,"[-0.21830235890064933, 0.0702351092597334, -0.09395681130911111]"
among_taxon,chelsa_bio12,projection_prominence,0.023580420186229304,0.19447295662173258,[0.15355917486828752]
among_taxon,chelsa_bio12,projection_pattern,0.021805769490847525,0.1798370186284285,"[0.013857674838630488, 0.20837347199142658]"
among_taxon,chelsa_bio15,presentation_angle,0.001078551420846112,0.005913965147281985,[-0.03284130662513463]
among_taxon,chelsa_bio15,floral_lightness,0.051087298418335564,0.2801243375840292,[-0.22602499511853896]
among_taxon,chelsa_bio15,floral_chroma,0.020033332233262726,0.1098477330997284,[-0.14153915441764772]
among_taxon,chelsa_bio15,floral_hue,0.03928595226063211,0.21541462739430386,"[-0.06199863521870949, 0.27336436079394405]"
among_taxon,chelsa_bio15,head_elongation,0.026610272658306185,0.1459107299097865,[0.16312655411767327]
among_taxon,chelsa_bio15,head_compactness,0.0026167661301801965,0.014348378198170007,[-0.051154336377087294]
among_taxon,chelsa_bio15,involucre_form,0.012852349255548816,0.07047262104423685,"[0.03416797447991237, -0.19132050747941629, -0.02803677414406153]"
among_taxon,chelsa_bio15,projection_prominence,0.0019204418803101802,0.010530259501791124,[0.04382284655645021]
among_taxon,chelsa_bio15,projection_pattern,0.026888687596411935,0.147437348120672,"[0.22114941120161932, 0.06978762868876516]"
among_taxon,chelsa_rsds_mean,presentation_angle,0.009168279524265507,0.01883158617522493,[0.09575113327927512]
among_taxon,chelsa_rsds_mean,floral_lightness,0.003761134521350476,0.0077253457061344415,[0.061328089170872395]
among_taxon,chelsa_rsds_mean,floral_chroma,0.13148092184637603,0.27006095348586157,[-0.36260298102246213]
among_taxon,chelsa_rsds_mean,floral_hue,0.08277053692547022,0.17001014146179194,"[0.2819569777418282, 0.29332803574434313]"
among_taxon,chelsa_rsds_mean,head_elongation,0.04085513237928967,0.08391617468299774,[0.20212652566966482]
among_taxon,chelsa_rsds_mean,head_compactness,9.685814201292682e-05,0.00019894599016762962,[-0.009841653418655161]
among_taxon,chelsa_rsds_mean,involucre_form,0.02312461355901003,0.047497804997405885,"[0.25983009190576495, -0.021943676443510425, -0.03715695199305728]"
among_taxon,chelsa_rsds_mean,projection_prominence,0.09594471796695948,0.19706982315171018,[-0.30974944385254266]
among_taxon,chelsa_rsds_mean,projection_pattern,0.09965427271883066,0.2046892243487056,"[0.44412381593594236, -0.04541565320633964]"
among_taxon,chelsa_vpd_mean,presentation_angle,0.00279243444566033,0.013004689889543642,[-0.052843490097270546]
among_taxon,chelsa_vpd_mean,floral_lightness,0.0007594247651664391,0.003536728885713783,[-0.027557662549034145]
among_taxon,chelsa_vpd_mean,floral_chroma,0.008434647113245073,0.03928112626097768,[-0.09184033489292748]
among_taxon,chelsa_vpd_mean,floral_hue,0.019169335538768057,0.08927381069149373,"[-0.043113572059506604, 0.19099709678894558]"
among_taxon,chelsa_vpd_mean,head_elongation,0.01466529762706194,0.06829798567847903,[0.12110036179575162]
among_taxon,chelsa_vpd_mean,head_compactness,0.0016138827747632823,0.007516038572181997,[0.04017315988023947]
among_taxon,chelsa_vpd_mean,involucre_form,0.045835831023057404,0.2134627615737742,"[0.32926873826366676, -0.16366647077139335, 0.047988304998840846]"
among_taxon,chelsa_vpd_mean,projection_prominence,0.07323812106371226,0.34107839272882473,[-0.2706254257524822]
among_taxon,chelsa_vpd_mean,projection_pattern,0.04821621089927802,0.22454846571901124,"[0.30879929607466283, 0.03279354421755554]"
among_taxon,chelsa_sfcwind_mean,presentation_angle,0.014746712350570563,0.03247853151262975,[0.12143604222211198]
among_taxon,chelsa_sfcwind_mean,floral_lightness,0.10864154832655079,0.23927488832914315,[0.32960817393770864]
among_taxon,chelsa_sfcwind_mean,floral_chroma,0.00034906191356321586,0.0007687827693393036,[-0.018683198697311332]
among_taxon,chelsa_sfcwind_mean,floral_hue,0.08570022882571741,0.1887483471831571,"[0.17639799117508334, -0.3745453328514855]"
among_taxon,chelsa_sfcwind_mean,head_elongation,0.07190857639837778,0.15837326375276417,[-0.268157745363392]
among_taxon,chelsa_sfcwind_mean,head_compactness,0.00040270765566877647,0.0008869335058610237,[-0.020067577224687]
among_taxon,chelsa_sfcwind_mean,involucre_form,0.01984353052323182,0.04370389250833113,"[0.038557010365183206, 0.0593741156748038, -0.23349231873710458]"
among_taxon,chelsa_sfcwind_mean,projection_prominence,0.038161340072376135,0.08404749863157766,[-0.1953492771227376]
among_taxon,chelsa_sfcwind_mean,projection_pattern,0.1142912172654091,0.25171786180719674,"[-0.31265369034476226, -0.36170444349581843]"
among_taxon,chelsa_gsp,presentation_angle,0.003824488385144054,0.01574644892172851,[0.06184244808498491]
among_taxon,chelsa_gsp,floral_lightness,0.03635805507210596,0.14969590685911952,[-0.19067788301768498]
among_taxon,chelsa_gsp,floral_chroma,0.03335822355415302,0.13734479240555633,[0.18264233779207115]
among_taxon,chelsa_gsp,floral_hue,0.014316385117301671,0.0589444140735425,"[-0.14429352949064914, 0.08838635404707285]"
among_taxon,chelsa_gsp,head_elongation,0.02076649079393392,0.08550123667270833,[-0.14410583192200765]
among_taxon,chelsa_gsp,head_compactness,0.01208431672891569,0.04975438724431973,[-0.10992868928953756]
among_taxon,chelsa_gsp,involucre_form,0.012407671952688713,0.0510857278059735,"[-0.17331164880287733, 0.006880269127230851, 0.08449112464650427]"
among_taxon,chelsa_gsp,projection_prominence,0.05886005906895123,0.24234271890049242,[0.24261092116586844]
among_taxon,chelsa_gsp,projection_pattern,0.05090372957924412,0.20958436711655926,"[0.1389774231550469, 0.287215485327082]"
among_taxon,chelsa_npp,presentation_angle,0.020043042293023297,0.06527328209563339,[-0.14157345193581775]
among_taxon,chelsa_npp,floral_lightness,0.03769256541293447,0.12275169702969634,[-0.19414573240979177]
among_taxon,chelsa_npp,floral_chroma,0.10629642887034994,0.34617084003399584,[0.3260313311176549]
among_taxon,chelsa_npp,floral_hue,0.037093668956052414,0.12080129764398306,"[-0.26664305265449295, 0.05557715702694885]"
among_taxon,chelsa_npp,head_elongation,0.016162836404741275,0.052636788601672584,[0.12713314439885956]
among_taxon,chelsa_npp,head_compactness,0.0015134865102892307,0.004928904030124818,[-0.03890355395448121]
among_taxon,chelsa_npp,involucre_form,0.012708635938566484,0.041387647969864536,"[-0.09398855654474644, -0.11353268423027489, 0.12807181058220088]"
among_taxon,chelsa_npp,projection_prominence,0.03735464802597816,0.12165121654368269,[0.19327350575280142]
among_taxon,chelsa_npp,projection_pattern,0.03819818507939323,0.12439832605134694,"[0.18616233723449666, 0.2043035838015966]"
within_taxon,chelsa_bio01,presentation_angle,0.00025230719695061034,0.055099131241066565,[-0.015884180713861523]
within_taxon,chelsa_bio01,floral_lightness,0.0007601769186693749,0.1660082958965002,[0.027571306074783163]
within_taxon,chelsa_bio01,floral_chroma,0.00011242821685879081,0.024552201248203922,[-0.01060321728810604]
within_taxon,chelsa_bio01,floral_hue,0.000826359072742635,0.18046122961052688,"[-0.0022954755389534825, -0.04058877846813496]"
within_taxon,chelsa_bio01,head_elongation,0.0012757758714236338,0.2786053787737061,[-0.035718004863424746]
within_taxon,chelsa_bio01,head_compactness,0.00032481286059128986,0.07093300013161771,[0.0180225653166049]
within_taxon,chelsa_bio01,involucre_form,0.0002624966029008556,0.05732430524524279,"[-0.017077096208604505, 0.008445112418493396, -0.020604433261403748]"
within_taxon,chelsa_bio01,projection_prominence,0.00026022615161219986,0.056828481523042026,[0.016131526636130874]
within_taxon,chelsa_bio01,projection_pattern,0.000504567292066218,0.11018797633009358,"[-0.031123299069353606, 0.0063619839022123394]"
within_taxon,chelsa_bio04,presentation_angle,0.0030424457624695245,0.328026069936517,[0.05515836983150902]
within_taxon,chelsa_bio04,floral_lightness,0.0015153107192068967,0.1633756059304917,[0.03892699216747804]
within_taxon,chelsa_bio04,floral_chroma,2.2648720193075408e-05,0.0024419073515368137,[-0.004759067155764395]
within_taxon,chelsa_bio04,floral_hue,0.0005285684587196237,0.05698843882280614,"[0.032255875218513426, 0.0040860043229221715]"
within_taxon,chelsa_bio04,head_elongation,0.0028503111629952136,0.3073107762271468,[0.05338830548907891]
within_taxon,chelsa_bio04,head_compactness,5.7545164619055494e-05,0.0062043223339228746,[-0.007585852926273715]
within_taxon,chelsa_bio04,involucre_form,0.0009809870179701202,0.10576665659350605,"[0.03326636101295955, 0.020624661718527833, 0.03756239619436036]"
within_taxon,chelsa_bio04,projection_prominence,0.00014484505828655232,0.015616697528536276,[0.012035159254723317]
within_taxon,chelsa_bio04,projection_pattern,0.0001323500193609901,0.014269525275536408,"[-0.0022652879117406963, 0.016111129985165586]"
within_taxon,chelsa_bio12,presentation_angle,0.0004173712060388471,0.09169105499988764,[-0.02042966485380627]
within_taxon,chelsa_bio12,floral_lightness,7.639185306443404e-05,0.01678230194016406,[-0.008740243306935685]
within_taxon,chelsa_bio12,floral_chroma,2.1904596484291114e-05,0.004812156497457431,[0.00468023466124201]
within_taxon,chelsa_bio12,floral_hue,0.0002968917537059174,0.06522327780208353,"[-0.018158214233734964, -0.016250008100109358]"
within_taxon,chelsa_bio12,head_elongation,0.001018150708534051,0.22367454022614378,[-0.03190847392988344]
within_taxon,chelsa_bio12,head_compactness,6.558168074823393e-05,0.014407446918874663,[-0.008098251709365048]
within_taxon,chelsa_bio12,involucre_form,0.001823051924527543,0.40050092546141686,"[-0.02592809437501525, -0.055462469101185574, -0.04148257726881211]"
within_taxon,chelsa_bio12,projection_prominence,0.00035433903414815805,0.0778437021974674,[0.018823895296886828]
within_taxon,chelsa_bio12,projection_pattern,0.00047824661076984907,0.1050645939565046,"[0.014919282435191032, -0.027090740727390577]"
within_taxon,chelsa_bio15,presentation_angle,6.441512532350147e-06,0.0018854545283852637,[-0.0025380135012151033]
within_taxon,chelsa_bio15,floral_lightness,0.0001542666586267096,0.045154421205553984,[-0.012420412981326732]
within_taxon,chelsa_bio15,floral_chroma,3.5737688411906526e-06,0.0010460553497621914,[0.0018904414408255688]
within_taxon,chelsa_bio15,floral_hue,1.99495321054605e-05,0.005839301787973777,"[-0.0005181318620904048, -0.006295284233806106]"
within_taxon,chelsa_bio15,head_elongation,0.0006948884834442903,0.20339642766398436,[-0.02636073753604573]
within_taxon,chelsa_bio15,head_compactness,2.803301893159582e-08,8.205368261482422e-06,[-0.00016743063916618074]
within_taxon,chelsa_bio15,involucre_form,0.0021683439609832687,0.6346822923654465,"[0.04897088814372725, 0.04638485628568483, 0.0442191033911897]"
within_taxon,chelsa_bio15,projection_prominence,0.00023581431219725493,0.06902372083535398,[-0.015356246683263946]
within_taxon,chelsa_bio15,projection_pattern,0.0001331179666655195,0.03896412089527844,"[0.009209749736093228, -0.013469092141995678]"
within_taxon,chelsa_rsds_mean,presentation_angle,0.00014410241816428072,0.03853764666732167,[-0.012004266664993773]
within_taxon,chelsa_rsds_mean,floral_lightness,7.770158595088611e-05,0.020779916832846173,[0.008814850307911423]
within_taxon,chelsa_rsds_mean,floral_chroma,0.0002473833930827869,0.06615831930813995,[-0.01572842627483077]
within_taxon,chelsa_rsds_mean,floral_hue,0.00023352016397448398,0.06245084352910868,"[-0.018775423720625066, 0.01070157895172285]"
within_taxon,chelsa_rsds_mean,head_elongation,0.00103656003053312,0.27720967291897447,[-0.03219565235452017]
within_taxon,chelsa_rsds_mean,head_compactness,0.00013890892544807845,0.03714873876545607,[-0.011785963068331686]
within_taxon,chelsa_rsds_mean,involucre_form,1.3809801043133908e-05,0.003693187386623765,"[0.0021882063177991106, 0.004482030829224015, 0.00406848324145882]"
within_taxon,chelsa_rsds_mean,projection_prominence,0.0005872197691427183,0.15704155605140074,[-0.02423261787638138]
within_taxon,chelsa_rsds_mean,projection_pattern,0.0012600574802637092,0.3369801185401285,"[-0.04101791515819388, 0.028942107673813725]"
within_taxon,chelsa_vpd_mean,presentation_angle,8.141691729937701e-05,0.013146414075360841,[-0.009023132344112936]
within_taxon,chelsa_vpd_mean,floral_lightness,0.0017354093442539411,0.28021706773694455,[0.041658244613208814]
within_taxon,chelsa_vpd_mean,floral_chroma,0.0007706158667188425,0.12443157531593872,[-0.027759968780941426]
within_taxon,chelsa_vpd_mean,floral_hue,0.0004962011209861056,0.08012174395101399,"[0.0151462381659355, -0.027622340802201578]"
within_taxon,chelsa_vpd_mean,head_elongation,0.000417677295046744,0.06744247820597814,[-0.020437154768869956]
within_taxon,chelsa_vpd_mean,head_compactness,0.0001270425792221801,0.02051360340155489,[0.011271316658766184]
within_taxon,chelsa_vpd_mean,involucre_form,0.00039991905612075826,0.06457505003608369,"[0.00143664477485263, 0.03380805685702065, 0.007396520243034705]"
within_taxon,chelsa_vpd_mean,projection_prominence,0.000349848552361763,0.05649015076438527,[0.01870423888752929]
within_taxon,chelsa_vpd_mean,projection_pattern,0.001814958640701401,0.29306191651273994,"[-0.05546540447547472, 0.023526712217706722]"
within_taxon,chelsa_sfcwind_mean,presentation_angle,8.178580060399924e-05,0.015731767611281068,[0.00904355022123498]
within_taxon,chelsa_sfcwind_mean,floral_lightness,0.00044079030858175345,0.08478746492302396,[-0.020995006753553414]
within_taxon,chelsa_sfcwind_mean,floral_chroma,0.0003124543809285377,0.06010162734353775,[0.017676379180379044]
within_taxon,chelsa_sfcwind_mean,floral_hue,0.000833020399192448,0.16023421228099302,"[0.026122424653010064, 0.031363350086250484]"
within_taxon,chelsa_sfcwind_mean,head_elongation,2.5870818990706996e-06,0.0004976337081371285,[0.0016084408285885743]
within_taxon,chelsa_sfcwind_mean,head_compactness,0.0012738383396042332,0.24502699227736127,[0.03569087193673241]
within_taxon,chelsa_sfcwind_mean,involucre_form,0.0008829322149087993,0.169834914115638,"[0.006411037590412332, -0.029516079607941864, -0.04167128851281607]"
within_taxon,chelsa_sfcwind_mean,projection_prominence,0.0004646071090192782,0.08936870478324824,[-0.021554746786248226]
within_taxon,chelsa_sfcwind_mean,projection_pattern,0.0009067517653950724,0.17441668295677962,"[-0.029425756578702566, -0.030783573226009477]"
within_taxon,chelsa_gsp,presentation_angle,0.0006323307857926012,0.1389782980791888,[0.025146188295497217]
within_taxon,chelsa_gsp,floral_lightness,1.9664787066038186e-06,0.0004322071137343017,[-0.0014023119148762228]
within_taxon,chelsa_gsp,floral_chroma,2.5173156870553397e-05,0.0055327410554029755,[0.005017285807142483]
within_taxon,chelsa_gsp,floral_hue,8.733018204677329e-05,0.019194067953836914,"[0.009871758375754883, 0.00878685100956309]"
within_taxon,chelsa_gsp,head_elongation,0.00042040705370505584,0.09240014583692666,[0.020503830220352876]
within_taxon,chelsa_gsp,head_compactness,0.0019688212681204273,0.432721979086486,[-0.04437140146671533]
within_taxon,chelsa_gsp,involucre_form,0.0005433923528310546,0.11943075694321141,"[-0.031198004813545066, -0.021096989255248777, -0.014552614834149229]"
within_taxon,chelsa_gsp,projection_prominence,0.0006108912424499651,0.13426615799001107,[-0.0247162141609504]
within_taxon,chelsa_gsp,projection_pattern,0.000259540186928483,0.05704364594120185,"[0.002055410016868262, -0.02269043110034544]"
within_taxon,chelsa_npp,presentation_angle,0.0005919129255510501,0.09187017803309776,[-0.024329260686487168]
within_taxon,chelsa_npp,floral_lightness,0.00025423904218178597,0.039460172366502046,[0.015944875107124105]
within_taxon,chelsa_npp,floral_chroma,0.00025461814060781345,0.039519011831544625,[0.015956758461787075]
within_taxon,chelsa_npp,floral_hue,0.0018872993441360277,0.2929257315780167,"[-0.006558119783256012, -0.06108673958544949]"
within_taxon,chelsa_npp,head_elongation,0.0002847998924129231,0.04420348955114301,[-0.01687601530021003]
within_taxon,chelsa_npp,head_compactness,7.019231681191014e-05,0.010894475122438633,[0.008378085509942599]
within_taxon,chelsa_npp,involucre_form,0.0024741842157153834,0.3840155106814754,"[-0.02373399945297102, -0.05639187756122024, -0.06065645936116669]"
within_taxon,chelsa_npp,projection_prominence,0.0005839484794140582,0.09063402478663962,[0.02416502595517038]
within_taxon,chelsa_npp,projection_pattern,4.173345961241587e-05,0.006477406049142052,"[0.008049480165077802, 0.004321202181899244]"
