obs_id,taxon_name,latitude,longitude,tdwg_level3_code,resolution_status,accepted_key,accepted_name,native_range_status
90633706,Cirsium acaulon,44.3620185852,3.3493328094,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
241429571,Cirsium acaulon,44.29803,3.5063616667,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
75301733,Cirsium acaulon,44.473059,5.888432,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
335500090,Cirsium acaulon,44.4213837863,6.1833466101,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
326694863,Cirsium acaulon,44.4975255368,6.4369509369,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
197293674,Cirsium acaulon,44.4619330447,6.555194869,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
184405240,Cirsium acaulon,44.4216240067,6.8975957295,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
181556291,Cirsium acaulon,44.4071557634,15.3183568642,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
155296307,Cirsium acaulon,44.2583720474,15.6387543386,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
234145661,Cirsium acaulon,44.2586637883,15.9442528,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
16127356,Cirsium acaulon,44.738614373,1.3951617479,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
229866279,Cirsium acaulon,44.5340416667,3.5100916667,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
59459152,Cirsium acaulon,44.51183667,5.94104667,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
334747025,Cirsium acaulon,44.693056,6.208889,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
235723178,Cirsium acaulon,44.66142583,6.67790095,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
132926930,Cirsium acaulon,44.634167,6.791944,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
237110607,Cirsium acaulon,44.6931369959,7.1382765099,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
299452852,Cirsium acaulon,44.58338132,9.2379435,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
31288703,Cirsium acaulon,44.5402795038,9.4981844958,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
301673022,Cirsium acaulon,44.5743825935,9.8692639639,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
188053679,Cirsium acaulon,44.6703396225,14.9904447421,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
304324537,Cirsium acaulon,44.5251099177,15.15048872,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
90125624,Cirsium acaulon,44.9092886258,0.6408369352,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
302342292,Cirsium acaulon,44.77890019,1.4551358,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
95976187,Cirsium acaulon,44.8319511414,1.6373132467,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
135386746,Cirsium acaulon,44.7509123624,4.5788727701,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
172728307,Cirsium acaulon,44.8830315952,4.8430304602,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
93451371,Cirsium acaulon,44.878772233,5.2483266592,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
229354767,Cirsium acaulon,44.8906042767,5.343174004,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
241263489,Cirsium acaulon,44.8718540161,5.5013431118,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
