accepted_key,tdwg_level3_code,locality,establishment_means,occurrence_status,classified_status
206739917,NAT,KwaZulu-Natal,INTRODUCED,,introduced
206739917,LBS,Lebanon-Syria,,,native
206739917,LES,Lesotho,INTRODUCED,,introduced
206739917,LOU,Louisiana,INTRODUCED,,introduced
206739917,MDR,Madeira,INTRODUCED,,introduced
206739917,MAI,Maine,INTRODUCED,,introduced
206739917,MAN,Manitoba,INTRODUCED,,introduced
206739917,MRY,Maryland,INTRODUCED,,introduced
206739917,MAS,Massachusetts,INTRODUCED,,introduced
206739917,MXN,Mexico Northwest,INTRODUCED,,introduced
206739917,MIC,Michigan,INTRODUCED,,introduced
206739917,MIN,Minnesota,INTRODUCED,,introduced
206739917,MSI,Mississippi,INTRODUCED,,introduced
206739917,MSO,Missouri,INTRODUCED,,introduced
206739917,MNT,Montana,INTRODUCED,,introduced
206739917,MOR,Morocco,,,native
206739917,YUG,NW. Balkan Pen.,,,native
206739917,NEB,Nebraska,INTRODUCED,,introduced
206739917,NET,Netherlands,,,native
206739917,NEV,Nevada,INTRODUCED,,introduced
206739917,NBR,New Brunswick,INTRODUCED,,introduced
206739917,NWH,New Hampshire,INTRODUCED,,introduced
206739917,NWJ,New Jersey,INTRODUCED,,introduced
206739917,NWM,New Mexico,INTRODUCED,,introduced
206739917,NSW,New South Wales,INTRODUCED,,introduced
206739917,NWY,New York,INTRODUCED,,introduced
206739917,NFL,Newfoundland,INTRODUCED,,introduced
206739917,NFK,Norfolk Is.,INTRODUCED,,introduced
206739917,NCA,North Carolina,INTRODUCED,,introduced
206739917,NCS,North Caucasus,,,native
206739917,NDA,North Dakota,INTRODUCED,,introduced
206739917,RUN,North European Russia,,,native
206739917,TVL,Northern Provinces,INTRODUCED,,introduced
206739917,RUW,Northwest European Russia,,,native
206739917,NOR,Norway,,,native
206739917,NSC,Nova Scotia,INTRODUCED,,introduced
206739917,OHI,Ohio,INTRODUCED,,introduced
206739917,OKL,Oklahoma,INTRODUCED,,introduced
206739917,ONT,Ontario,INTRODUCED,,introduced
206739917,ORE,Oregon,INTRODUCED,,introduced
206739917,PAK,Pakistan,,,native
206739917,PEN,Pennsylvania,INTRODUCED,,introduced
206739917,PER,Peru,INTRODUCED,,introduced
206739917,POL,Poland,,,native
206739917,POR,Portugal,,,native
206739917,PRM,Primorye,INTRODUCED,,introduced
206739917,PEI,Prince Edward I.,INTRODUCED,,introduced
206739917,QLD,Queensland,INTRODUCED,,introduced
206739917,QUE,Québec,INTRODUCED,,introduced
206739917,RHO,Rhode I.,INTRODUCED,,introduced
206739917,ROM,Romania,,,native
206739917,REU,Réunion,INTRODUCED,,introduced
206739917,SAK,Sakhalin,INTRODUCED,,introduced
206739917,SAR,Sardegna,,,native
206739917,SAS,Saskatchewan,INTRODUCED,,introduced
206739917,SAU,Saudi Arabia,,,native
206739917,SIC,Sicilia,,,native
206739917,SOA,South Australia,INTRODUCED,,introduced
206739917,SCA,South Carolina,INTRODUCED,,introduced
206739917,SDA,South Dakota,INTRODUCED,,introduced
206739917,RUS,South European Russia,,,native
206739917,SPA,Spain,,,native
206739917,SWE,Sweden,,,native
206739917,SWI,Switzerland,,,native
206739917,TZK,Tadzhikistan,,,native
206739917,TAI,Taiwan,INTRODUCED,,introduced
206739917,TAS,Tasmania,INTRODUCED,,introduced
206739917,TEN,Tennessee,INTRODUCED,,introduced
206739917,TEX,Texas,INTRODUCED,,introduced
206739917,TCS,Transcaucasus,,,native
206739917,TUN,Tunisia,,,native
206739917,TKM,Turkmenistan,,,native
206739917,TVA,Tuva,,,native
206739917,TUE,Türkiye-in-Europe,,,native
206739917,TUR,Türkiye,,,native
206739917,UKR,Ukraine,,,native
206739917,URU,Uruguay,INTRODUCED,,introduced
206739917,UTA,Utah,INTRODUCED,,introduced
206739917,UZB,Uzbekistan,,,native
206739917,VER,Vermont,INTRODUCED,,introduced
206739917,VIC,Victoria,INTRODUCED,,introduced
206739917,VRG,Virginia,INTRODUCED,,introduced
206739917,WAS,Washington,INTRODUCED,,introduced
206739917,WHM,West Himalaya,,,native
206739917,WSB,West Siberia,,,native
206739917,WVA,West Virginia,INTRODUCED,,introduced
206739917,WAU,Western Australia,INTRODUCED,,introduced
206739917,WIS,Wisconsin,INTRODUCED,,introduced
206739917,WYO,Wyoming,INTRODUCED,,introduced
206739917,CHX,Xinjiang,,,native
206739917,YEM,Yemen,,,native
206740172,AMU,Amur,,,native
206740172,CHN,China North-Central,,,native
206740172,CHS,China Southeast,,,native
206740172,CTA,Chita,,,native
206740172,CHI,Inner Mongolia,,,native
206740172,KHA,Khabarovsk,,,native
206740172,KOR,Korea,,,native
206740172,CHM,Manchuria,,,native
206740172,MON,Mongolia,,,native
206740172,PRM,Primorye,,,native
206740230,ASS,Assam,,,native
206740230,EHM,East Himalaya,,,native
206740230,MYA,Myanmar,,,native
206740230,NEP,Nepal,,,native
206740230,PAK,Pakistan,,,native
206740230,CHT,Tibet,,,native
206740230,VIE,Vietnam,,,native
206740230,WHM,West Himalaya,,,native
206740249,MXC,Mexico Central,,,native
206740249,MXE,Mexico Northeast,,,native
206740249,MXS,Mexico Southwest,,,native
206740265,SPA,Spain,,,native
206740278,ABT,Alberta,,,native
206740278,ARI,Arizona,,,native
206740278,BRC,British Columbia,,,native
206740278,CAL,California,,,native
206740278,COL,Colorado,,,native
206740278,GEO,Georgia,,,native
206740278,IDA,Idaho,,,native
206740278,ILL,Illinois,,,native
206740278,INI,Indiana,,,native
206740278,IOW,Iowa,,,native
206740278,KAN,Kansas,,,native
206740278,MAN,Manitoba,,,native
206740278,MXE,Mexico Northeast,INTRODUCED,,introduced
206740278,MIC,Michigan,,,native
206740278,MIN,Minnesota,,,native
206740278,MSO,Missouri,,,native
206740278,MNT,Montana,,,native
206740278,NEB,Nebraska,,,native
206740278,NWM,New Mexico,,,native
206740278,NDA,North Dakota,,,native
206740278,OKL,Oklahoma,,,native
206740278,ORE,Oregon,,,native
206740278,PEN,Pennsylvania,,,native
206740278,SAS,Saskatchewan,,,native
206740278,SDA,South Dakota,,,native
206740278,TEX,Texas,,,native
206740278,UTA,Utah,,,native
206740278,WAS,Washington,,,native
206740278,WIS,Wisconsin,,,native
206740278,WYO,Wyoming,,,native
206740311,IRQ,Iraq,,,native
206740311,NCS,North Caucasus,,,native
206740311,TCS,Transcaucasus,,,native
206740323,RUC,Central European Russia,,,native
206740323,RUS,South European Russia,,,native
206740323,UKR,Ukraine,,,native
206740339,ALB,Albania,,,native
206740339,GRC,Greece,,,native
206740339,YUG,NW. Balkan Pen.,,,native
206740341,MXE,Mexico Northeast,,,native
206740341,TEX,Texas,,,native
206740344,AFG,Afghanistan,,,native
206740344,IRN,Iran,,,native
206740344,KAZ,Kazakhstan,,,native
206740344,KGZ,Kirgizstan,,,native
206740344,TZK,Tadzhikistan,,,native
206740344,TKM,Turkmenistan,,,native
206740344,UZB,Uzbekistan,,,native
206740363,AUT,Austria,,,native
206740363,BGM,Belgium,INTRODUCED,,introduced
206740363,FRA,France,,,native
206740363,GER,Germany,,,native
206740363,GRB,Great Britain,,,native
206740363,ITA,Italy,,,native
206740363,YUG,NW. Balkan Pen.,,,native
206740363,POR,Portugal,,,native
206740363,SPA,Spain,,,native
206740363,SWI,Switzerland,,,native
206740479,JAP,Japan,,,native
206740485,NCS,North Caucasus,,,native
206740485,TCS,Transcaucasus,,,native
206740493,JAP,Japan,,,native
206740495,JAP,Japan,,,native
206740525,COS,Costa Rica,,,native
206740525,ELS,El Salvador,,,native
206740525,GUA,Guatemala,,,native
206740525,HON,Honduras,,,native
206740525,MXC,Mexico Central,,,native
206740525,MXG,Mexico Gulf,,,native
206740525,MXE,Mexico Northeast,,,native
206740525,MXT,Mexico Southeast,,,native
206740525,MXS,Mexico Southwest,,,native
206740525,NIC,Nicaragua,,,native
206740525,PAN,Panamá,,,native
206740595,JAP,Japan,,,native
206740595,NNS,Nansei-shoto,,,native
206740598,AUT,Austria,,,native
206740598,FRA,France,,,native
206740598,GER,Germany,,,native
206740598,ITA,Italy,,,native
206740598,YUG,NW. Balkan Pen.,,,native
206740598,SWI,Switzerland,,,native
206740674,JAP,Japan,,,native
206740702,CHN,China North-Central,,,native
206740702,CHC,China South-Central,,,native
206740702,EHM,East Himalaya,,,native
206740702,CHI,Inner Mongolia,,,native
206740702,CHQ,Qinghai,,,native
206740702,CHT,Tibet,,,native
206740712,COL,Colorado,,,native
206740712,NWM,New Mexico,,,native
206740712,UTA,Utah,,,native
206740733,AFG,Afghanistan,,,native
206740733,IRN,Iran,,,native
206740733,IRQ,Iraq,,,native
206740733,TCS,Transcaucasus,,,native
206740733,TKM,Turkmenistan,,,native
206740733,TUR,Türkiye,,,native
206740764,GUA,Guatemala,,,native
206740770,TUR,Türkiye,,,native
206740773,TUR,Türkiye,,,native
206740780,NCS,North Caucasus,,,native
206740780,TCS,Transcaucasus,,,native
206740780,TUR,Türkiye,,,native
206740796,KAZ,Kazakhstan,,,native
206740796,KGZ,Kirgizstan,,,native
206740796,MON,Mongolia,,,native
206740796,TZK,Tadzhikistan,,,native
206740796,UZB,Uzbekistan,,,native
206740796,CHX,Xinjiang,,,native
206740809,CHS,China Southeast,,,native
206740809,JAP,Japan,,,native
206740858,ASS,Assam,,,native
206740858,CHN,China North-Central,,,native
206740858,CHC,China South-Central,,,native
206740858,CHS,China Southeast,,,native
206740858,EHM,East Himalaya,,,native
206740858,IND,India,,,native
206740858,CHI,Inner Mongolia,,,native
206740858,MYA,Myanmar,,,native
206740858,CHQ,Qinghai,,,native
206740858,CHT,Tibet,,,native
206740858,WHM,West Himalaya,,,native
206740862,KOR,Korea,,,native
206740924,KAZ,Kazakhstan,,,native
206740924,KGZ,Kirgizstan,,,native
206740924,TZK,Tadzhikistan,,,native
206740924,UZB,Uzbekistan,,,native
206740924,CHX,Xinjiang,,,native
206740950,AMU,Amur,,,native
206740950,KHA,Khabarovsk,,,native
206740950,KOR,Korea,,,native
206740950,CHM,Manchuria,,,native
206740950,PRM,Primorye,,,native
206740950,SAK,Sakhalin,,,native
206740970,CAL,California,,,native
206740970,COL,Colorado,,,native
206740970,IDA,Idaho,,,native
206740970,MXN,Mexico Northwest,,,native
206740970,NEV,Nevada,,,native
206740970,ORE,Oregon,,,native
206740970,UTA,Utah,,,native
206740970,WYO,Wyoming,,,native
206741026,ABT,Alberta,,,native
206741026,BRC,British Columbia,,,native
206741026,CAL,California,,,native
206741026,COL,Colorado,,,native
206741026,IDA,Idaho,,,native
206741026,MNT,Montana,,,native
206741026,NEV,Nevada,,,native
206741026,ORE,Oregon,,,native
206741026,QUE,Québec,,,native
206741026,UTA,Utah,,,native
206741026,WAS,Washington,,,native
206741026,WYO,Wyoming,,,native
206741097,CAL,California,,,native
206741097,MXN,Mexico Northwest,,,native
206741126,KAZ,Kazakhstan,,,native
206741126,KGZ,Kirgizstan,,,native
206741126,TZK,Tadzhikistan,,,native
206741126,UZB,Uzbekistan,,,native
206741126,CHX,Xinjiang,,,native
206741142,RUC,Central European Russia,,,native
206741142,RUE,East European Russia,,,native
206741142,RUS,South European Russia,,,native
206741142,UKR,Ukraine,,,native
206741145,ALB,Albania,,,native
206741145,AUT,Austria,,,native
206741145,BLT,Baltic States,,,native
206741145,BLR,Belarus,,,native
206741145,RUC,Central European Russia,,,native
206741145,CZE,Czechia-Slovakia,,,native
206741145,FRA,France,,,native
206741145,GER,Germany,,,native
206741145,GRB,Great Britain,,,native
206741145,HUN,Hungary,,,native
206741145,YUG,NW. Balkan Pen.,,,native
206741145,RUW,Northwest European Russia,,,native
206741145,POL,Poland,,,native
206741145,ROM,Romania,,,native
206741145,SPA,Spain,,,native
206741145,SWE,Sweden,INTRODUCED,,introduced
206741145,SWI,Switzerland,,,native
206741145,UKR,Ukraine,,,native
206741293,AFG,Afghanistan,,,native
206741293,IRN,Iran,,,native
206741293,NCS,North Caucasus,,,native
206741293,PAK,Pakistan,,,native
206741293,TZK,Tadzhikistan,,,native
206741293,TCS,Transcaucasus,,,native
206741293,TKM,Turkmenistan,,,native
206741293,TUR,Türkiye,,,native
206741325,KOR,Korea,,,native
206741335,MXC,Mexico Central,,,native
206741335,MXG,Mexico Gulf,,,native
206741335,MXE,Mexico Northeast,,,native
206741335,MXN,Mexico Northwest,,,native
206741335,MXS,Mexico Southwest,,,native
206741347,GEO,Georgia,,,native
206741347,NCA,North Carolina,,,native
206741347,SCA,South Carolina,,,native
206741347,VRG,Virginia,,,native
206741358,CAL,California,,,native
206741358,ORE,Oregon,,,native
206741358,WAS,Washington,,,native
206741431,ARI,Arizona,,,native
206741431,COL,Colorado,,,native
206741431,NWM,New Mexico,,,native
206741431,UTA,Utah,,,native
206741431,WYO,Wyoming,,,native
206741459,GUA,Guatemala,,,native
206741459,HON,Honduras,,,native
206741459,MXG,Mexico Gulf,,,native
206741459,MXT,Mexico Southeast,,,native
206741472,CAL,California,,,native
206741496,FRA,France,,,native
206741496,MOR,Morocco,,,native
206741496,POR,Portugal,,,native
206741496,SPA,Spain,,,native
206741561,JAP,Japan,,,native
206741566,CNT,Connecticut,,,native
206741566,DEL,Delaware,,,native
206741566,ILL,Illinois,,,native
206741566,INI,Indiana,,,native
206741566,IOW,Iowa,,,native
206741566,MAI,Maine,,,native
206741566,MRY,Maryland,,,native
206741566,MAS,Massachusetts,,,native
206741566,MIC,Michigan,,,native
206741566,MIN,Minnesota,,,native
206741566,NWH,New Hampshire,,,native
206741566,NWJ,New Jersey,,,native
206741566,NWY,New York,,,native
206741566,NCA,North Carolina,,,native
206741566,OHI,Ohio,,,native
206741566,ONT,Ontario,,,native
206741566,PEN,Pennsylvania,,,native
206741566,RHO,Rhode I.,,,native
206741566,SCA,South Carolina,,,native
206741566,VER,Vermont,,,native
206741566,VRG,Virginia,,,native
206741566,WVA,West Virginia,,,native
206741566,WIS,Wisconsin,,,native
206741615,COL,Colorado,,,native
206741615,IDA,Idaho,,,native
206741615,MNT,Montana,,,native
206741615,NEB,Nebraska,,,native
206741615,UTA,Utah,,,native
206741615,WYO,Wyoming,,,native
206741629,NCS,North Caucasus,,,native
206741629,TCS,Transcaucasus,,,native
206741629,TUR,Türkiye,,,native
206741644,IRN,Iran,,,native
206741644,IRQ,Iraq,,,native
206741644,NCS,North Caucasus,,,native
206741644,TCS,Transcaucasus,,,native
206741644,TUR,Türkiye,,,native
206741673,ARK,Arkansas,,,native
206741673,LOU,Louisiana,,,native
206741673,MXE,Mexico Northeast,,,native
206741673,MSO,Missouri,,,native
206741673,NWM,New Mexico,,,native
206741673,OKL,Oklahoma,,,native
206741673,TEX,Texas,,,native
206741703,JAP,Japan,,,native
206741724,MXE,Mexico Northeast,,,native
206741739,ILL,Illinois,,,native
206741739,INI,Indiana,,,native
206741739,MIC,Michigan,,,native
206741739,ONT,Ontario,,,native
206741739,WIS,Wisconsin,,,native
206741761,LBS,Lebanon-Syria,,,native
206741761,PAL,Palestine,,,native
206741773,COL,Colorado,,,native
206741793,AMU,Amur,,,native
206741793,BRY,Buryatiya,,,native
206741793,CHN,China North-Central,,,native
206741793,CHC,China South-Central,,,native
206741793,CHS,China Southeast,,,native
206741793,CTA,Chita,,,native
206741793,CHI,Inner Mongolia,,,native
206741793,IRK,Irkutsk,,,native
206741793,JAP,Japan,,,native
206741793,KHA,Khabarovsk,,,native
206741793,KOR,Korea,,,native
206741793,CHM,Manchuria,,,native
206741793,MON,Mongolia,,,native
206741793,PRM,Primorye,,,native
206741829,ARI,Arizona,,,native
206741829,COL,Colorado,,,native
206741829,NWM,New Mexico,,,native
206741864,AUT,Austria,,,native
206741864,BLR,Belarus,,,native
206741864,BUL,Bulgaria,,,native
206741864,RUC,Central European Russia,,,native
206741864,CZE,Czechia-Slovakia,,,native
206741864,HUN,Hungary,,,native
206741864,ITA,Italy,,,native
206741864,YUG,NW. Balkan Pen.,,,native
206741864,POL,Poland,,,native
206741864,ROM,Romania,,,native
206741864,SPA,Spain,,,native
206741864,SWI,Switzerland,,,native
206741864,UKR,Ukraine,,,native
206742007,COL,Colorado,,,native
206742007,UTA,Utah,,,native
206742007,WYO,Wyoming,,,native
206742010,JAP,Japan,,,native
206742018,JAP,Japan,,,native
206742024,JAP,Japan,,,native
206742045,ALT,Altay,,,native
206742045,AUT,Austria,,,native
206742045,BLT,Baltic States,,,native
206742045,BLR,Belarus,,,native
206742045,BGM,Belgium,,,native
206742045,BUL,Bulgaria,,,native
206742045,RUC,Central European Russia,,,native
206742045,CZE,Czechia-Slovakia,,,native
206742045,DEN,Denmark,,,native
206742045,RUE,East European Russia,,,native
206742045,FIN,Finland,INTRODUCED,,introduced
206742045,FRA,France,,,native
206742045,GER,Germany,,,native
206742045,GRB,Great Britain,INTRODUCED,,introduced
206742045,HUN,Hungary,,,native
206742045,IRE,Ireland,INTRODUCED,,introduced
206742045,ITA,Italy,,,native
206742045,KAZ,Kazakhstan,,,native
206742045,KRA,Krasnoyarsk,INTRODUCED,,introduced
206742045,YUG,NW. Balkan Pen.,,,native
206742045,NET,Netherlands,,,native
206742045,RUN,North European Russia,,,native
206742045,RUW,Northwest European Russia,,,native
206742045,NOR,Norway,,,native
206742045,POL,Poland,,,native
206742045,ROM,Romania,,,native
206742045,SPA,Spain,,,native
206742045,SWE,Sweden,,,native
206742045,SWI,Switzerland,,,native
206742045,UKR,Ukraine,,,native
206742045,WSB,West Siberia,,,native
206742138,CAL,California,,,native
206742138,COL,Colorado,,,native
206742138,KAN,Kansas,,,native
206742138,MXE,Mexico Northeast,,,native
206742138,NEB,Nebraska,,,native
206742138,NWM,New Mexico,,,native
206742138,OKL,Oklahoma,,,native
206742138,SDA,South Dakota,,,native
206742138,TEX,Texas,,,native
206742138,UTA,Utah,,,native
206742138,WYO,Wyoming,,,native
206742170,CAL,California,,,native
206742170,MXN,Mexico Northwest,,,native
206742170,NEV,Nevada,,,native
206742170,ORE,Oregon,,,native
206742276,IRN,Iran,,,native
206742276,NCS,North Caucasus,,,native
206742276,TCS,Transcaucasus,,,native
206742276,TUR,Türkiye,,,native
206742291,ALA,Alabama,,,native
206742291,FLA,Florida,,,native
206742291,GEO,Georgia,,,native
206742291,LOU,Louisiana,,,native
206742291,MSI,Mississippi,,,native
206742291,NCA,North Carolina,,,native
206742291,SCA,South Carolina,,,native
206742291,TEX,Texas,,,native
206742291,VRG,Virginia,,,native
206742308,JAP,Japan,,,native
206742313,MXC,Mexico Central,,,native
206742313,MXG,Mexico Gulf,,,native
206742313,MXS,Mexico Southwest,,,native
206742325,JAP,Japan,,,native
206742325,KOR,Korea,,,native
206742403,ARI,Arizona,,,native
206742403,CAL,California,,,native
206742403,COL,Colorado,,,native
206742403,MXE,Mexico Northeast,,,native
206742403,MXN,Mexico Northwest,,,native
206742403,NEV,Nevada,,,native
206742403,NWM,New Mexico,,,native
206742403,TEX,Texas,,,native
206742403,UTA,Utah,,,native
206742444,JAP,Japan,,,native
206742453,JAP,Japan,,,native
206742455,ALA,Alabama,,,native
206742455,ARK,Arkansas,,,native
206742455,CNT,Connecticut,,,native
206742455,DEL,Delaware,,,native
206742455,FLA,Florida,,,native
206742455,GEO,Georgia,,,native
206742455,ILL,Illinois,,,native
206742455,INI,Indiana,,,native
206742455,IOW,Iowa,,,native
206742455,KTY,Kentucky,,,native
206742455,LAB,Labrador,,,native
206742455,LOU,Louisiana,,,native
206742455,MAI,Maine,,,native
206742455,MAN,Manitoba,,,native
206742455,MRY,Maryland,,,native
206742455,MAS,Massachusetts,,,native
206742455,MIC,Michigan,,,native
206742455,MIN,Minnesota,,,native
206742455,MSO,Missouri,,,native
206742455,NBR,New Brunswick,,,native
206742455,NWH,New Hampshire,,,native
206742455,NWJ,New Jersey,,,native
206742455,NWY,New York,,,native
206742455,NFL,Newfoundland,,,native
206742455,NCA,North Carolina,,,native
206742455,NDA,North Dakota,,,native
206742455,NSC,Nova Scotia,,,native
206742455,OHI,Ohio,,,native
206742455,OKL,Oklahoma,,,native
206742455,ONT,Ontario,,,native
206742455,PEN,Pennsylvania,,,native
206742455,PEI,Prince Edward I.,,,native
206742455,QUE,Québec,,,native
206742455,RHO,Rhode I.,,,native
206742455,SAS,Saskatchewan,,,native
206742455,SCA,South Carolina,,,native
206742455,TEN,Tennessee,,,native
206742455,TEX,Texas,,,native
206742455,VER,Vermont,,,native
206742455,VRG,Virginia,,,native
206742455,WVA,West Virginia,,,native
206742455,WIS,Wisconsin,,,native
206742505,KRI,Kriti,,,native
206742538,NCS,North Caucasus,,,native
206742538,TCS,Transcaucasus,,,native
206742544,NCS,North Caucasus,,,native
206742544,TCS,Transcaucasus,,,native
206742544,TUR,Türkiye,,,native
206742550,CHI,Inner Mongolia,,,native
206742550,KHA,Khabarovsk,,,native
206742550,KOR,Korea,,,native
206742550,CHM,Manchuria,,,native
206742550,PRM,Primorye,,,native
206742568,PHI,Philippines,,,native
206742606,MNT,Montana,,,native
206742612,MXC,Mexico Central,,,native
206742633,ASS,Assam,,,native
206742633,CHN,China North-Central,,,native
206742633,CHC,China South-Central,,,native
206742633,CHS,China Southeast,,,native
206742633,JAP,Japan,,,native
206742633,KOR,Korea,,,native
206742633,TAI,Taiwan,,,native
206742633,THA,Thailand,,,native
206742633,VIE,Vietnam,,,native
206742695,ALB,Albania,,,native
206742695,BUL,Bulgaria,,,native
206742695,GRC,Greece,,,native
206742695,YUG,NW. Balkan Pen.,,,native
206742695,TUR,Türkiye,,,native
206742725,IRQ,Iraq,,,native
206742725,LBS,Lebanon-Syria,,,native
206742725,TUR,Türkiye,,,native
206742751,IRN,Iran,,,native
206742751,NCS,North Caucasus,,,native
206742751,TCS,Transcaucasus,,,native
206742751,TUR,Türkiye,,,native
206742811,FRA,France,,,native
206742811,GER,Germany,INTRODUCED,,introduced
206742811,ITA,Italy,,,native
206742811,POR,Portugal,,,native
206742811,SPA,Spain,,,native
206742846,CHN,China North-Central,,,native
206742846,CHC,China South-Central,,,native
206742857,ARI,Arizona,,,native
206742857,CAL,California,,,native
206742857,MXN,Mexico Northwest,,,native
206742857,NEV,Nevada,,,native
206742886,NCS,North Caucasus,,,native
206742886,TCS,Transcaucasus,,,native
206742886,TUR,Türkiye,,,native
206742907,ALT,Altay,,,native
206742907,KAZ,Kazakhstan,,,native
206742907,TVA,Tuva,,,native
206742927,JAP,Japan,,,native
206742945,ALU,Aleutian Is.,,,native
206742945,JAP,Japan,,,native
206742945,KAM,Kamchatka,,,native
206742945,KUR,Kuril Is.,,,native
206742945,SAK,Sakhalin,,,native
206742971,MXC,Mexico Central,,,native
206742971,MXG,Mexico Gulf,,,native
206742971,MXE,Mexico Northeast,,,native
206742971,MXS,Mexico Southwest,,,native
206742996,UTA,Utah,,,native
206743002,ALB,Albania,,,native
206743002,BUL,Bulgaria,,,native
206743002,COR,Corse,,,native
206743002,EAI,East Aegean Is.,,,native
206743002,FRA,France,,,native
206743002,GER,Germany,INTRODUCED,,introduced
206743002,GRC,Greece,,,native
206743002,ITA,Italy,,,native
206743002,SAR,Sardegna,,,native
206743002,SIC,Sicilia,,,native
206743002,TUE,Türkiye-in-Europe,,,native
206743002,TUR,Türkiye,,,native
206743015,NCS,North Caucasus,,,native
206743015,TCS,Transcaucasus,,,native
206743015,TUR,Türkiye,,,native
206743043,CAL,California,,,native
206743043,IDA,Idaho,,,native
206743043,NEV,Nevada,,,native
