input_name,resolution_status,accepted_key,accepted_name,n_exact_records,n_distinct_accepted_keys
Cirsium pacificum,resolved_unique_accepted_key,231083324,Cirsium pacificum G.L.Nesom,1,1
Cirsium palustre,unresolved,,,2,2
Cirsium pannonicum,resolved_unique_accepted_key,206741864,Cirsium pannonicum (L.f.) Link,1,1
Cirsium parryi,resolved_unique_accepted_key,206741829,Cirsium parryi Petr.,1,1
Cirsium peckii,resolved_unique_accepted_key,206744085,Cirsium peckii L.F.Hend.,1,1
Cirsium pendulum,resolved_unique_accepted_key,206741793,Cirsium pendulum Fisch. ex DC.,1,1
Cirsium perplexans,resolved_unique_accepted_key,206741773,Cirsium perplexans Petr.,1,1
Cirsium phyllocephalum,resolved_unique_accepted_key,206741761,Cirsium phyllocephalum Boiss. & C.I.Blanche,1,1
Cirsium pinetorum,unresolved,,,2,2
Cirsium pitcheri,resolved_unique_accepted_key,206741739,Cirsium pitcheri Torr. & A.Gray,1,1
Cirsium pringlei,resolved_unique_accepted_key,206741724,Cirsium pringlei Petr.,1,1
Cirsium pubigerum,resolved_unique_accepted_key,206741644,Cirsium pubigerum (Desf.) DC.,1,1
Cirsium pugnax,resolved_unique_accepted_key,206741629,Cirsium pugnax Sommier & Levier,1,1
Cirsium pulcherrimum,resolved_unique_accepted_key,206741615,Cirsium pulcherrimum (Rydb.) K.Schum.,1,1
Cirsium pumilum,resolved_unique_accepted_key,206741566,Cirsium pumilum Spreng.,1,1
Cirsium purpuratum,resolved_unique_accepted_key,206741561,Cirsium purpuratum Matsum.,1,1
Cirsium pyrenaicum,resolved_unique_accepted_key,206741496,Cirsium pyrenaicum (Jacq.) All.,1,1
Cirsium quercetorum,resolved_unique_accepted_key,206741472,Cirsium quercetorum (A.Gray) Jeps.,1,1
Cirsium radians,resolved_unique_accepted_key,206741459,Cirsium radians Benth.,1,1
Cirsium remotifolium,resolved_unique_accepted_key,206741358,Cirsium remotifolium DC.,1,1
Cirsium repandum,resolved_unique_accepted_key,206741347,Cirsium repandum Michx.,1,1
Cirsium rhaphilepis,resolved_unique_accepted_key,206741335,Cirsium rhaphilepis Petr.,1,1
Cirsium rhinoceros,resolved_unique_accepted_key,206741325,Cirsium rhinoceros Nakai,1,1
Cirsium rhizocephalum,resolved_unique_accepted_key,206741293,Cirsium rhizocephalum C.A.Mey.,1,1
Cirsium rivulare,resolved_unique_accepted_key,206741145,Cirsium rivulare (Jacq.) All.,1,1
Cirsium roseolum,resolved_unique_accepted_key,206741142,Cirsium roseolum Gorl.,1,1
Cirsium rupinarum,resolved_unique_accepted_key,209721668,Cirsium rupinarum G.L.Nesom,1,1
Cirsium sairamense,resolved_unique_accepted_key,206741126,Cirsium sairamense O.Fedtsch. & B.Fedtsch.,1,1
Cirsium scariosum,resolved_unique_accepted_key,206741026,Cirsium scariosum Nutt.,1,1
Cirsium schantarense,resolved_unique_accepted_key,206740950,Cirsium schantarense Trautv. & C.A.Mey.,1,1
Cirsium scopulorum,resolved_unique_accepted_key,206744108,Cirsium scopulorum (Greene) Cockerell,1,1
Cirsium semenowii,resolved_unique_accepted_key,206740924,Cirsium semenowii Regel,1,1
Cirsium serratuloides,unresolved,,,2,2
Cirsium serrulatum,unresolved,,,2,2
Cirsium setidens,resolved_unique_accepted_key,206740862,Cirsium setidens (Dunn) Nakai,1,1
Cirsium shansiense,resolved_unique_accepted_key,206740858,Cirsium shansiense Petr.,1,1
Cirsium sieboldii,resolved_unique_accepted_key,206740809,Cirsium sieboldii Miq.,1,1
Cirsium sieversii,resolved_unique_accepted_key,206740796,Cirsium sieversii (Fisch. & C.A.Mey.) Petr.,1,1
Cirsium simplex,resolved_unique_accepted_key,206740780,Cirsium simplex C.A.Mey.,1,1
Cirsium sintenisii,resolved_unique_accepted_key,206740773,Cirsium sintenisii Freyn,1,1
Cirsium sipyleum,resolved_unique_accepted_key,206740770,Cirsium sipyleum O.Schwarz,1,1
Cirsium skutchii,resolved_unique_accepted_key,206740764,Cirsium skutchii S.F.Blake,1,1
Cirsium sorocephalum,resolved_unique_accepted_key,206740733,Cirsium sorocephalum Fisch. & C.A.Mey.,1,1
Cirsium souliei,resolved_unique_accepted_key,206740702,Cirsium souliei (Franch.) Mattf. ex Rehder & Kobuski,1,1
Cirsium spicatum,resolved_unique_accepted_key,206740674,Cirsium spicatum Matsum.,1,1
Cirsium spinosissimum,resolved_unique_accepted_key,206740598,Cirsium spinosissimum (L.) Scop.,1,1
Cirsium spinosum,resolved_unique_accepted_key,206740595,Cirsium spinosum Kitam.,1,1
Cirsium subcoriaceum,resolved_unique_accepted_key,206740525,Cirsium subcoriaceum (Less.) Sch.Bip.,1,1
Cirsium subuliforme,unresolved,,,2,2
Cirsium suffultum,resolved_unique_accepted_key,206740495,Cirsium suffultum Matsum.,1,1
Cirsium suzukaense,resolved_unique_accepted_key,206740493,Cirsium suzukaense Kitam.,1,1
Cirsium suzukii,resolved_unique_accepted_key,206738638,Cirsium suzukii Kitam.,1,1
Cirsium sychnosanthum,resolved_unique_accepted_key,206740485,Cirsium sychnosanthum Petr.,1,1
Cirsium taiwanense,resolved_unique_accepted_key,206738404,Cirsium taiwanense Y.H.Tseng & Chih Y.Chang,1,1
Cirsium tamastoloniferum,resolved_unique_accepted_key,206740479,Cirsium tamastoloniferum Kadota,1,1
Cirsium tancitaroense,resolved_unique_accepted_key,209721653,Cirsium tancitaroense G.L.Nesom,1,1
Cirsium tatakaense,resolved_unique_accepted_key,206738470,"Cirsium tatakaense Y.H.Tseng, Y.H.Tseng, Chih Y.Chang & C.Y.Chang",1,1
Cirsium tenorioanum,resolved_unique_accepted_key,231083323,Cirsium tenorioanum G.L.Nesom,1,1
Cirsium tenuipedunculatum,resolved_unique_accepted_key,206741703,Cirsium tenuipedunculatum Kadota,1,1
Cirsium tepehuanense,resolved_unique_accepted_key,209721662,Cirsium tepehuanense G.L.Nesom,1,1
Cirsium texanum,resolved_unique_accepted_key,206741673,Cirsium texanum Buckley,1,1
Cirsium tioganum,resolved_unique_accepted_key,206740970,Cirsium tioganum (Congdon) Petr.,1,1
Cirsium townsendii,resolved_unique_accepted_key,209721658,Cirsium townsendii (Petr.) G.L.Nesom,1,1
Cirsium tracyi,resolved_unique_accepted_key,206740712,Cirsium tracyi (Rydb.) Petr.,1,1
Cirsium tuberosum,resolved_unique_accepted_key,206740363,Cirsium tuberosum (L.) All.,1,1
Cirsium tukuhnikivatzicum,resolved_unique_accepted_key,231083328,Cirsium tukuhnikivatzicum Ackerf.,1,1
Cirsium turkestanicum,resolved_unique_accepted_key,206740344,Cirsium turkestanicum Petr.,1,1
Cirsium turneri,resolved_unique_accepted_key,206740341,Cirsium turneri Warnock,1,1
Cirsium tweedyi,resolved_unique_accepted_key,206744146,Cirsium tweedyi (Rydb.) Rydb.,1,1
Cirsium tymphaeum,resolved_unique_accepted_key,206740339,Cirsium tymphaeum Hausskn.,1,1
Cirsium ukranicum,resolved_unique_accepted_key,206740323,Cirsium ukranicum Besser ex DC.,1,1
Cirsium uliginosum,resolved_unique_accepted_key,206740311,Cirsium uliginosum (M.Bieb.) Fisch.,1,1
Cirsium undulatum,resolved_unique_accepted_key,206740278,Cirsium undulatum (Nutt.) Spreng.,1,1
Cirsium valentinum,resolved_unique_accepted_key,206740265,Cirsium valentinum Porta,1,1
Cirsium velatum,resolved_unique_accepted_key,206740249,Cirsium velatum (S.Watson) Petr.,1,1
Cirsium vergelense,resolved_unique_accepted_key,209721649,Cirsium vergelense G.L.Nesom,1,1
Cirsium verutum,resolved_unique_accepted_key,206740230,Cirsium verutum (D.Don) Spreng.,1,1
Cirsium viperinum,resolved_unique_accepted_key,206738422,Cirsium viperinum (D.J.Keil) Ackerf. & D.J.Keil,1,1
Cirsium virginianum,unresolved,,,2,2
Cirsium vlassovianum,resolved_unique_accepted_key,206740172,Cirsium vlassovianum Fisch. ex DC.,1,1
Cirsium vulgare,resolved_unique_accepted_key,206739917,Cirsium vulgare (Savi) Ten.,1,1
Cirsium waldsteinii,resolved_unique_accepted_key,206739900,Cirsium waldsteinii Rouy,1,1
Cirsium wallichii,resolved_unique_accepted_key,206739835,Cirsium wallichii DC.,1,1
Cirsium welwitschii,resolved_unique_accepted_key,206739832,Cirsium welwitschii Coss.,1,1
Cirsium wheeleri,resolved_unique_accepted_key,206739803,Cirsium wheeleri (A.Gray) Petr.,1,1
Cirsium yakusimense,resolved_unique_accepted_key,206739597,Cirsium yakusimense Masam.,1,1
Cirsium yatsu-alpicola,resolved_unique_accepted_key,206739589,Cirsium yatsu-alpicola Kadota & Y.Amano,1,1
Cirsium yezoense,resolved_unique_accepted_key,206739568,Cirsium yezoense (Maxim.) Makino,1,1
Cirsium zamoranense,resolved_unique_accepted_key,206739548,Cirsium zamoranense Rzed.,1,1
Cirsium zhejiangense,resolved_unique_accepted_key,206739568,Cirsium yezoense (Maxim.) Makino,1,1
