taxon_name,n_observations,n_northern,n_southern,sampled_both_hemispheres
Cirsium komarovii,3,3,0,False
Cirsium latifolium,3,3,0,False
Cirsium macrocephalum,3,3,0,False
Cirsium otayae,3,3,0,False
Cirsium radians,3,3,0,False
Cirsium rhinoceros,3,3,0,False
Cirsium spinosum,3,3,0,False
Cirsium taiwanense,3,3,0,False
Cirsium uliginosum,3,3,0,False
Cirsium wallichii,3,3,0,False
Cirsium yatsu-alpicola,3,3,0,False
Cirsium yezoense,3,3,0,False
Cirsium arachnoideum,2,2,0,False
Cirsium arctorhaphis,2,2,0,False
Cirsium argyracanthum,2,2,0,False
Cirsium borealinipponense,2,2,0,False
Cirsium chinense,2,2,0,False
Cirsium chionanthum,2,2,0,False
Cirsium gagnidzei,2,2,0,False
Cirsium hachijoense,2,2,0,False
Cirsium libanoticum,2,2,0,False
Cirsium lineare,2,2,0,False
Cirsium loncholepis,2,2,0,False
Cirsium longistylum,2,2,0,False
Cirsium macrobotrys,2,2,0,False
Cirsium michiliense,2,2,0,False
Cirsium morii,2,2,0,False
Cirsium morinifolium,2,2,0,False
Cirsium murdockii,2,2,0,False
Cirsium notorhaphis,2,2,0,False
Cirsium oaxacanum,2,2,0,False
Cirsium sintenisii,2,2,0,False
Cirsium skutchii,2,2,0,False
Cirsium tenuipedunculatum,2,2,0,False
Cirsium tepehuanense,2,2,0,False
Cirsium viperinum,2,2,0,False
Cirsium acantholepis,1,1,0,False
Cirsium alberti,1,1,0,False
Cirsium babanum,1,1,0,False
Cirsium boninense,1,1,0,False
Cirsium botryodes,1,1,0,False
Cirsium bracteosum,1,1,0,False
Cirsium buergeri,1,1,0,False
Cirsium chanroenicum,1,1,0,False
Cirsium charkeviczii,1,1,0,False
Cirsium chellyense,1,1,0,False
Cirsium chokaiense,1,1,0,False
Cirsium confertissimum,1,1,0,False
Cirsium dyris,1,1,0,False
Cirsium elodes,1,1,0,False
Cirsium faucium,1,1,0,False
Cirsium gilense,1,1,0,False
Cirsium gratiosum,1,1,0,False
Cirsium hachimantaiense,1,1,0,False
Cirsium harrisonii,1,1,0,False
Cirsium heterotrichum,1,1,0,False
Cirsium hidakamontanum,1,1,0,False
Cirsium hosokawae,1,1,0,False
Cirsium hydrophilum,1,1,0,False
Cirsium isophyllum,1,1,0,False
Cirsium joannae,1,1,0,False
Cirsium kirishimense,1,1,0,False
Cirsium leucocephalum,1,1,0,False
Cirsium luzoniense,1,1,0,False
Cirsium magdalenense,1,1,0,False
Cirsium monocephalum,1,1,0,False
Cirsium myokoense,1,1,0,False
Cirsium nambuense,1,1,0,False
Cirsium nipponicum,1,1,0,False
Cirsium norikurense,1,1,0,False
Cirsium opacum,1,1,0,False
Cirsium ownbeyi,1,1,0,False
Cirsium pubigerum,1,1,0,False
Cirsium rupinarum,1,1,0,False
Cirsium shansiense,1,1,0,False
Cirsium sipyleum,1,1,0,False
Cirsium spicatum,1,1,0,False
Cirsium suffultum,1,1,0,False
Cirsium tamastoloniferum,1,1,0,False
Cirsium tancitaroense,1,1,0,False
Cirsium tenorioanum,1,1,0,False
Cirsium valentinum,1,1,0,False
Cirsium vergelense,1,1,0,False
Cirsium welwitschii,1,1,0,False
Cirsium yakusimense,1,1,0,False
Cirsium zamoranense,1,1,0,False
Cirsium zhejiangense,1,1,0,False
