construct_id,tier,kind,predictor,n_taxa,beta_std,effect_magnitude,component_betas,p_value,q_bh,fdr_0_05,scale,module,direction,n_observations,standard_error,ci_low,ci_high,p_method,sampling_composition_stability_class,broad_spatial_sensitivity_pass,historical_placement_sensitivity_pass,robustness_status
head_elongation,primary,scalar,chelsa_bio15,200,-0.0042279945908694,0.0042279945908694,,0.2243873702342589,0.4487747404685178,False,within_taxon,head_form,negative,38458.0,0.0034799907303926,-0.0110486510889722,0.0025926619072332,taxon_clustered_ols,,,,not_fdr_supported
involucre_form,candidate,joint,chelsa_bio15,44,,0.2480083942521185,"{""involucre_apical_taper_ratio"": -0.05383320932603783, ""involucre_basal_taper_ratio"": 0.24188200736295906, ""involucre_length_width_ratio"": -0.010160891065191824}",0.4624,0.5955428571428572,False,among_taxon,involucre,joint_no_single_direction,,,,,,,,,not_fdr_supported
involucre_form,candidate,joint,chelsa_bio15,78,,0.0665649571546217,"{""involucre_apical_taper_ratio"": 0.02231653962573801, ""involucre_basal_taper_ratio"": 0.03027170119660576, ""involucre_length_width_ratio"": 0.05492257902532352}",0.0215,0.1121454633344751,False,within_taxon,involucre,joint_no_single_direction,2277.0,,,,within_taxon_predictor_permutation,,,,not_fdr_supported
projection_pattern,candidate,joint,chelsa_bio15,44,,0.2849898854057097,"{""bract_projection_asymmetry"": 0.07287295925988616, ""bract_projection_peak_density"": 0.2755154561767208}",0.1733,0.333,False,among_taxon,involucre,joint_no_single_direction,,,,,,,,,not_fdr_supported
projection_pattern,candidate,joint,chelsa_bio15,78,,0.0101397389831825,"{""bract_projection_asymmetry"": -0.0022395091851665247, ""bract_projection_peak_density"": 0.009889332902507961}",0.8881,0.9987,False,within_taxon,involucre,joint_no_single_direction,2277.0,,,,within_taxon_predictor_permutation,,,,not_fdr_supported
projection_prominence,candidate,scalar,chelsa_bio15,44,0.0025094010504405,0.0025094010504405,,0.9873,0.9873,False,among_taxon,involucre,positive,,,,,,,,,not_fdr_supported
projection_prominence,candidate,scalar,chelsa_bio15,78,-0.0274233681868579,0.0274233681868579,,0.0149811369895884,0.0906,False,within_taxon,involucre,negative,2277.0,0.0112721870480448,-0.0495164488280246,-0.0053302875456912,taxon_clustered_ols,,,,not_fdr_supported
presentation_angle,primary,scalar,chelsa_bio15,142,0.0670043446773373,0.0670043446773373,,0.4332,0.5949264705882352,False,among_taxon,presentation,positive,,,,,,,,,not_fdr_supported
presentation_angle,primary,scalar,chelsa_bio15,199,-0.0076180061143611,0.0076180061143611,,0.0455339406882348,0.1517798022941161,False,within_taxon,presentation,negative,37196.0,0.0038095969297207,-0.0150846788922282,-0.000151333336494,taxon_clustered_ols,,,,not_fdr_supported
floral_chroma,primary,scalar,chelsa_gsp,143,0.0906466258685953,0.0906466258685953,,0.2809,0.4681666666666666,False,among_taxon,colour,positive,,,,,,,,,not_fdr_supported
floral_chroma,primary,scalar,chelsa_gsp,203,-0.0034983016465083,0.0034983016465083,,0.1836424261710662,0.3935194846522847,False,within_taxon,colour,negative,40460.0,0.0026310472427383,-0.0086550594838989,0.0016584561908821,taxon_clustered_ols,,,,not_fdr_supported
floral_hue,primary,joint,chelsa_gsp,143,,0.2326228713547233,"{""corolla_hue_cos"": 0.055876638193943916, ""corolla_hue_sin"": -0.22581231494641568}",0.0203,0.1056315789473684,False,among_taxon,colour,joint_no_single_direction,,,,,,,,,not_fdr_supported
floral_hue,primary,joint,chelsa_gsp,203,,0.0055889683029226,"{""corolla_hue_cos"": 0.004913755670693308, ""corolla_hue_sin"": -0.002663000544461639}",0.4263,0.6975818181818183,False,within_taxon,colour,joint_no_single_direction,40453.0,,,,within_taxon_predictor_permutation,,,,not_fdr_supported
floral_lightness,primary,scalar,chelsa_gsp,143,-0.2387183035708991,0.2387183035708991,,0.005,0.0405,True,among_taxon,colour,negative,,,,,,stable_all_declared_scenarios,False,,sensitivity_not_passed
