group,taxon_name,observations,eligible_50
orientation,Cirsium laniflorum,11,False
orientation,Cirsium latifolium,2,False
orientation,Cirsium lecontei,14,False
orientation,Cirsium leo,4,False
orientation,Cirsium libanoticum,2,False
orientation,Cirsium ligulare,15,False
orientation,Cirsium lineare,1,False
orientation,Cirsium lipskyi,2,False
orientation,Cirsium lomatolepis,6,False
orientation,Cirsium loncholepis,2,False
orientation,Cirsium longistylum,2,False
orientation,Cirsium luzoniense,1,False
orientation,Cirsium maackii,12,False
orientation,Cirsium macrobotrys,1,False
orientation,Cirsium macrocephalum,2,False
orientation,Cirsium maritimum,13,False
orientation,Cirsium mexicanum,128,True
orientation,Cirsium michiliense,2,False
orientation,Cirsium mohavense,39,False
orientation,Cirsium monocephalum,1,False
orientation,Cirsium monspessulanum,79,True
orientation,Cirsium morinifolium,2,False
orientation,Cirsium murdockii,1,False
orientation,Cirsium muticum,547,True
orientation,Cirsium myokoense,1,False
orientation,Cirsium nambuense,1,False
orientation,Cirsium neomexicanum,245,True
orientation,Cirsium nipponicum,1,False
orientation,Cirsium nivale,16,False
orientation,Cirsium norikurense,1,False
orientation,Cirsium notorhaphis,2,False
orientation,Cirsium novoleonense,8,False
orientation,Cirsium nuttallii,254,True
orientation,Cirsium oaxacanum,2,False
orientation,Cirsium obvallatum,67,True
orientation,Cirsium occidentale,346,True
orientation,Cirsium ochrocentrum,162,True
orientation,Cirsium oleraceum,1484,True
orientation,Cirsium oligophyllum,18,False
orientation,Cirsium opacum,1,False
orientation,Cirsium osseticum,4,False
orientation,Cirsium otayae,3,False
orientation,Cirsium ownbeyi,1,False
orientation,Cirsium pacificum,9,False
orientation,Cirsium palustre,2825,True
orientation,Cirsium pannonicum,79,True
orientation,Cirsium parryi,55,True
orientation,Cirsium peckii,3,False
orientation,Cirsium pendulum,37,False
orientation,Cirsium perplexans,3,False
orientation,Cirsium phyllocephalum,11,False
orientation,Cirsium pinetorum,5,False
orientation,Cirsium pitcheri,6,False
orientation,Cirsium pringlei,6,False
orientation,Cirsium pubigerum,1,False
orientation,Cirsium pugnax,18,False
orientation,Cirsium pulcherrimum,10,False
orientation,Cirsium pumilum,148,True
orientation,Cirsium purpuratum,12,False
orientation,Cirsium pyrenaicum,15,False
orientation,Cirsium quercetorum,23,False
orientation,Cirsium radians,3,False
orientation,Cirsium remotifolium,39,False
orientation,Cirsium repandum,56,True
orientation,Cirsium rhaphilepis,80,True
orientation,Cirsium rhinoceros,3,False
orientation,Cirsium rhizocephalum,18,False
orientation,Cirsium rivulare,299,True
orientation,Cirsium roseolum,8,False
orientation,Cirsium rupinarum,1,False
orientation,Cirsium sairamense,8,False
orientation,Cirsium scariosum,214,True
orientation,Cirsium schantarense,12,False
orientation,Cirsium scopulorum,14,False
orientation,Cirsium semenowii,12,False
orientation,Cirsium serratuloides,84,True
orientation,Cirsium serrulatum,212,True
orientation,Cirsium setidens,7,False
orientation,Cirsium shansiense,1,False
orientation,Cirsium sieboldii,9,False
orientation,Cirsium sieversii,5,False
orientation,Cirsium simplex,16,False
orientation,Cirsium sintenisii,1,False
orientation,Cirsium sipyleum,1,False
orientation,Cirsium skutchii,1,False
orientation,Cirsium sorocephalum,5,False
orientation,Cirsium souliei,4,False
orientation,Cirsium spicatum,1,False
orientation,Cirsium spinosissimum,132,True
orientation,Cirsium spinosum,2,False
orientation,Cirsium subcoriaceum,75,True
orientation,Cirsium subuliforme,6,False
orientation,Cirsium suffultum,1,False
orientation,Cirsium suzukaense,4,False
orientation,Cirsium suzukii,6,False
orientation,Cirsium sychnosanthum,4,False
orientation,Cirsium taiwanense,3,False
orientation,Cirsium tamastoloniferum,1,False
orientation,Cirsium tancitaroense,1,False
orientation,Cirsium tatakaense,2,False
orientation,Cirsium tenorioanum,1,False
orientation,Cirsium tenuipedunculatum,2,False
orientation,Cirsium tepehuanense,2,False
orientation,Cirsium texanum,395,True
orientation,Cirsium tioganum,5,False
orientation,Cirsium townsendii,26,False
orientation,Cirsium tracyi,10,False
orientation,Cirsium tuberosum,59,True
orientation,Cirsium tukuhnikivatzicum,4,False
orientation,Cirsium turkestanicum,6,False
orientation,Cirsium turneri,6,False
orientation,Cirsium tweedyi,6,False
orientation,Cirsium tymphaeum,3,False
orientation,Cirsium ukranicum,60,True
orientation,Cirsium uliginosum,3,False
orientation,Cirsium undulatum,579,True
orientation,Cirsium valentinum,1,False
orientation,Cirsium velatum,5,False
orientation,Cirsium vergelense,1,False
orientation,Cirsium verutum,9,False
orientation,Cirsium viperinum,2,False
orientation,Cirsium virginianum,12,False
orientation,Cirsium vlassovianum,20,False
orientation,Cirsium vulgare,10259,True
orientation,Cirsium waldsteinii,19,False
orientation,Cirsium wallichii,3,False
orientation,Cirsium welwitschii,1,False
orientation,Cirsium wheeleri,50,True
orientation,Cirsium yatsu-alpicola,2,False
orientation,Cirsium yezoense,1,False
orientation,Cirsium zamoranense,1,False
orientation,Cirsium zhejiangense,1,False
colour,Cirsium acantholepis,1,False
colour,Cirsium acaulon,588,True
colour,Cirsium acrolepis,7,False
colour,Cirsium alatum,22,False
colour,Cirsium alberti,1,False
colour,Cirsium alsophilum,27,False
colour,Cirsium altissimum,585,True
colour,Cirsium anartiolepis,17,False
colour,Cirsium andersonii,85,True
colour,Cirsium andrewsii,5,False
colour,Cirsium aomorense,3,False
colour,Cirsium appendiculatum,8,False
colour,Cirsium arachnoideum,2,False
colour,Cirsium arctorhaphis,2,False
colour,Cirsium argillosum,11,False
colour,Cirsium argyracanthum,2,False
colour,Cirsium arisanense,10,False
colour,Cirsium arizonicum,123,True
colour,Cirsium arvense,10423,True
colour,Cirsium babanum,1,False
colour,Cirsium barnebyi,4,False
colour,Cirsium bertolonii,3,False
colour,Cirsium bicentenariale,3,False
colour,Cirsium boninense,1,False
colour,Cirsium borealinipponense,2,False
colour,Cirsium botryodes,1,False
colour,Cirsium brachycephalum,43,False
colour,Cirsium bracteosum,1,False
colour,Cirsium brevicaule,22,False
colour,Cirsium brevifolium,10,False
colour,Cirsium brevistylum,136,True
colour,Cirsium buergeri,1,False
colour,Cirsium calcareum,6,False
colour,Cirsium candelabrum,25,False
colour,Cirsium canescens,99,True
colour,Cirsium canum,302,True
colour,Cirsium carniolicum,13,False
colour,Cirsium carolinianum,117,True
colour,Cirsium centaureae,21,False
colour,Cirsium cephalotes,5,False
colour,Cirsium chanroenicum,1,False
colour,Cirsium charkeviczii,1,False
colour,Cirsium chellyense,1,False
colour,Cirsium chinense,2,False
colour,Cirsium chionanthum,2,False
colour,Cirsium chlorocomos,7,False
colour,Cirsium chokaiense,1,False
colour,Cirsium ciliatum,63,True
colour,Cirsium ciliolatum,3,False
colour,Cirsium clavatum,9,False
colour,Cirsium clokeyi,2,False
colour,Cirsium coahuilense,5,False
colour,Cirsium coloradense,25,False
colour,Cirsium confertissimum,1,False
colour,Cirsium consociatum,4,False
colour,Cirsium conspicuum,16,False
colour,Cirsium coryletorum,7,False
colour,Cirsium creticum,19,False
colour,Cirsium culebraense,5,False
colour,Cirsium cymosum,87,True
colour,Cirsium czerkessicum,3,False
colour,Cirsium dealbatum,7,False
colour,Cirsium discolor,1142,True
colour,Cirsium dissectum,84,True
colour,Cirsium douglasii,21,False
colour,Cirsium drummondii,86,True
colour,Cirsium dyris,1,False
colour,Cirsium eatonii,7,False
colour,Cirsium echinus,59,True
colour,Cirsium edule,142,True
colour,Cirsium ehrenbergii,95,True
colour,Cirsium elbrusense,3,False
colour,Cirsium elodes,1,False
colour,Cirsium engelmannii,41,False
colour,Cirsium eriophoroides,4,False
colour,Cirsium erisithales,223,True
colour,Cirsium erythrolepis,3,False
colour,Cirsium esculentum,318,True
colour,Cirsium euxinum,5,False
colour,Cirsium falconeri,4,False
colour,Cirsium faucium,1,False
colour,Cirsium ferum,7,False
colour,Cirsium filipendulum,60,True
colour,Cirsium flodmanii,272,True
colour,Cirsium foliosum,21,False
colour,Cirsium funkiae,20,False
colour,Cirsium gagnidzei,2,False
colour,Cirsium gilense,1,False
colour,Cirsium glabrum,6,False
colour,Cirsium grahamii,10,False
colour,Cirsium greimleri,14,False
colour,Cirsium griseum,16,False
colour,Cirsium hachijoense,2,False
colour,Cirsium hachimantaiense,1,False
colour,Cirsium harrisonii,1,False
colour,Cirsium helenioides,152,True
colour,Cirsium heliorhaphis,5,False
colour,Cirsium hesperium,9,False
colour,Cirsium heterophyllum,1576,True
colour,Cirsium heterotrichum,1,False
colour,Cirsium hidakamontanum,1,False
colour,Cirsium hidalgoense,3,False
colour,Cirsium hookerianum,120,True
colour,Cirsium horridulum,1207,True
colour,Cirsium hosokawae,1,False
colour,Cirsium hupehense,3,False
colour,Cirsium hydrophilum,1,False
colour,Cirsium hygropodum,4,False
colour,Cirsium hypoleucum,13,False
colour,Cirsium inamoenum,9,False
colour,Cirsium irumtiense,4,False
colour,Cirsium isophyllum,1,False
colour,Cirsium italicum,4,False
colour,Cirsium jaliscoense,9,False
colour,Cirsium japonicum,187,True
colour,Cirsium jorullense,6,False
colour,Cirsium kamtschaticum,91,True
colour,Cirsium kawakamii,1,False
colour,Cirsium kirishimense,1,False
colour,Cirsium komarovii,1,False
colour,Cirsium kosmelii,7,False
colour,Cirsium laniflorum,11,False
colour,Cirsium latifolium,2,False
colour,Cirsium lecontei,14,False
colour,Cirsium leo,4,False
colour,Cirsium libanoticum,2,False
colour,Cirsium ligulare,14,False
colour,Cirsium lineare,2,False
colour,Cirsium lipskyi,3,False
colour,Cirsium lomatolepis,6,False
colour,Cirsium loncholepis,2,False
colour,Cirsium longistylum,2,False
colour,Cirsium luzoniense,1,False
colour,Cirsium maackii,13,False
colour,Cirsium macrobotrys,2,False
colour,Cirsium macrocephalum,2,False
colour,Cirsium maritimum,14,False
colour,Cirsium mexicanum,139,True
colour,Cirsium michiliense,2,False
colour,Cirsium mohavense,41,False
colour,Cirsium monocephalum,1,False
colour,Cirsium monspessulanum,81,True
colour,Cirsium morii,1,False
colour,Cirsium morinifolium,2,False
colour,Cirsium murdockii,2,False
colour,Cirsium muticum,574,True
colour,Cirsium myokoense,1,False
colour,Cirsium nambuense,1,False
colour,Cirsium neomexicanum,260,True
colour,Cirsium nipponicum,1,False
colour,Cirsium nivale,15,False
colour,Cirsium norikurense,1,False
colour,Cirsium notorhaphis,2,False
colour,Cirsium novoleonense,8,False
colour,Cirsium nuttallii,277,True
colour,Cirsium oaxacanum,2,False
colour,Cirsium obvallatum,74,True
colour,Cirsium occidentale,361,True
colour,Cirsium ochrocentrum,182,True
colour,Cirsium oleraceum,1646,True
colour,Cirsium oligophyllum,20,False
colour,Cirsium opacum,1,False
colour,Cirsium osseticum,4,False
colour,Cirsium otayae,3,False
colour,Cirsium ownbeyi,1,False
colour,Cirsium pacificum,9,False
colour,Cirsium palustre,3039,True
colour,Cirsium pannonicum,83,True
colour,Cirsium parryi,66,True
colour,Cirsium peckii,4,False
colour,Cirsium pendulum,42,False
colour,Cirsium perplexans,4,False
colour,Cirsium phyllocephalum,11,False
colour,Cirsium pinetorum,5,False
colour,Cirsium pitcheri,10,False
colour,Cirsium pringlei,7,False
colour,Cirsium pubigerum,1,False
colour,Cirsium pugnax,25,False
colour,Cirsium pulcherrimum,12,False
colour,Cirsium pumilum,173,True
colour,Cirsium purpuratum,13,False
colour,Cirsium pyrenaicum,16,False
colour,Cirsium quercetorum,24,False
colour,Cirsium radians,3,False
colour,Cirsium remotifolium,41,False
colour,Cirsium repandum,62,True
colour,Cirsium rhaphilepis,81,True
colour,Cirsium rhinoceros,3,False
colour,Cirsium rhizocephalum,20,False
colour,Cirsium rivulare,305,True
colour,Cirsium roseolum,9,False
colour,Cirsium rupinarum,1,False
colour,Cirsium sairamense,8,False
colour,Cirsium scariosum,262,True
colour,Cirsium schantarense,14,False
colour,Cirsium scopulorum,14,False
colour,Cirsium semenowii,14,False
colour,Cirsium serratuloides,84,True
colour,Cirsium serrulatum,233,True
colour,Cirsium setidens,7,False
colour,Cirsium shansiense,1,False
colour,Cirsium sieboldii,10,False
colour,Cirsium sieversii,6,False
colour,Cirsium simplex,16,False
colour,Cirsium sintenisii,2,False
colour,Cirsium sipyleum,1,False
colour,Cirsium skutchii,1,False
colour,Cirsium sorocephalum,6,False
colour,Cirsium souliei,4,False
colour,Cirsium spicatum,1,False
colour,Cirsium spinosissimum,164,True
colour,Cirsium spinosum,2,False
colour,Cirsium subcoriaceum,74,True
colour,Cirsium subuliforme,6,False
colour,Cirsium suffultum,1,False
colour,Cirsium suzukaense,4,False
colour,Cirsium suzukii,6,False
colour,Cirsium sychnosanthum,3,False
colour,Cirsium taiwanense,3,False
colour,Cirsium tamastoloniferum,1,False
colour,Cirsium tancitaroense,1,False
colour,Cirsium tatakaense,3,False
colour,Cirsium tenorioanum,1,False
colour,Cirsium tenuipedunculatum,2,False
colour,Cirsium tepehuanense,2,False
colour,Cirsium texanum,455,True
colour,Cirsium tioganum,6,False
colour,Cirsium townsendii,27,False
colour,Cirsium tracyi,11,False
colour,Cirsium tuberosum,64,True
colour,Cirsium tukuhnikivatzicum,4,False
colour,Cirsium turkestanicum,6,False
colour,Cirsium turneri,6,False
colour,Cirsium tweedyi,6,False
colour,Cirsium tymphaeum,4,False
colour,Cirsium ukranicum,61,True
colour,Cirsium uliginosum,3,False
colour,Cirsium undulatum,649,True
colour,Cirsium valentinum,1,False
colour,Cirsium velatum,5,False
colour,Cirsium verutum,9,False
colour,Cirsium viperinum,1,False
colour,Cirsium virginianum,15,False
colour,Cirsium vlassovianum,21,False
colour,Cirsium vulgare,11138,True
colour,Cirsium waldsteinii,19,False
colour,Cirsium wallichii,3,False
colour,Cirsium welwitschii,1,False
colour,Cirsium wheeleri,53,True
colour,Cirsium yakusimense,1,False
colour,Cirsium yatsu-alpicola,3,False
colour,Cirsium yezoense,3,False
colour,Cirsium zhejiangense,1,False
outline,Cirsium acantholepis,1,False
outline,Cirsium acaulon,541,True
outline,Cirsium acrolepis,7,False
outline,Cirsium alatum,21,False
outline,Cirsium alberti,1,False
outline,Cirsium alsophilum,29,False
outline,Cirsium altissimum,553,True
outline,Cirsium anartiolepis,15,False
outline,Cirsium andersonii,83,True
outline,Cirsium andrewsii,5,False
outline,Cirsium aomorense,3,False
outline,Cirsium appendiculatum,8,False
outline,Cirsium arachnoideum,2,False
outline,Cirsium arctorhaphis,2,False
outline,Cirsium argillosum,13,False
outline,Cirsium argyracanthum,2,False
outline,Cirsium arisanense,11,False
outline,Cirsium arizonicum,119,True
outline,Cirsium arvense,9865,True
outline,Cirsium babanum,1,False
outline,Cirsium barnebyi,3,False
outline,Cirsium bertolonii,2,False
outline,Cirsium bicentenariale,3,False
outline,Cirsium boninense,1,False
outline,Cirsium borealinipponense,2,False
outline,Cirsium botryodes,1,False
outline,Cirsium brachycephalum,40,False
outline,Cirsium bracteosum,1,False
outline,Cirsium brevicaule,20,False
outline,Cirsium brevifolium,10,False
outline,Cirsium brevistylum,128,True
outline,Cirsium buergeri,1,False
outline,Cirsium calcareum,5,False
outline,Cirsium candelabrum,24,False
outline,Cirsium canescens,102,True
outline,Cirsium canum,288,True
outline,Cirsium carniolicum,13,False
outline,Cirsium carolinianum,115,True
outline,Cirsium centaureae,21,False
outline,Cirsium cephalotes,6,False
outline,Cirsium chanroenicum,1,False
outline,Cirsium charkeviczii,1,False
outline,Cirsium chellyense,1,False
outline,Cirsium chinense,1,False
outline,Cirsium chionanthum,2,False
outline,Cirsium chlorocomos,7,False
outline,Cirsium chokaiense,1,False
outline,Cirsium ciliatum,64,True
outline,Cirsium ciliolatum,3,False
outline,Cirsium clavatum,9,False
outline,Cirsium clokeyi,2,False
outline,Cirsium coahuilense,5,False
outline,Cirsium coloradense,23,False
outline,Cirsium confertissimum,1,False
outline,Cirsium consociatum,4,False
outline,Cirsium conspicuum,17,False
outline,Cirsium coryletorum,7,False
outline,Cirsium creticum,19,False
outline,Cirsium culebraense,5,False
outline,Cirsium cymosum,85,True
outline,Cirsium czerkessicum,2,False
outline,Cirsium dealbatum,8,False
outline,Cirsium discolor,1097,True
outline,Cirsium dissectum,84,True
outline,Cirsium douglasii,20,False
outline,Cirsium drummondii,85,True
outline,Cirsium dyris,1,False
outline,Cirsium eatonii,6,False
outline,Cirsium echinus,55,True
outline,Cirsium edule,142,True
outline,Cirsium ehrenbergii,89,True
outline,Cirsium elbrusense,3,False
outline,Cirsium elodes,1,False
outline,Cirsium engelmannii,41,False
outline,Cirsium eriophoroides,4,False
outline,Cirsium erisithales,220,True
outline,Cirsium erythrolepis,3,False
outline,Cirsium esculentum,282,True
outline,Cirsium euxinum,5,False
outline,Cirsium falconeri,4,False
outline,Cirsium faucium,1,False
outline,Cirsium ferum,6,False
outline,Cirsium filipendulum,59,True
outline,Cirsium flodmanii,265,True
outline,Cirsium foliosum,15,False
outline,Cirsium funkiae,17,False
outline,Cirsium gagnidzei,2,False
outline,Cirsium gilense,1,False
outline,Cirsium glabrum,4,False
outline,Cirsium grahamii,10,False
outline,Cirsium greimleri,14,False
outline,Cirsium griseum,15,False
outline,Cirsium hachijoense,2,False
outline,Cirsium hachimantaiense,1,False
outline,Cirsium harrisonii,1,False
outline,Cirsium helenioides,150,True
outline,Cirsium heliorhaphis,5,False
outline,Cirsium hesperium,8,False
outline,Cirsium heterophyllum,1562,True
outline,Cirsium heterotrichum,1,False
outline,Cirsium hidakamontanum,1,False
outline,Cirsium hidalgoense,3,False
outline,Cirsium hookerianum,108,True
outline,Cirsium horridulum,1159,True
outline,Cirsium hosokawae,1,False
outline,Cirsium hupehense,3,False
outline,Cirsium hydrophilum,1,False
outline,Cirsium hygropodum,4,False
outline,Cirsium hypoleucum,13,False
outline,Cirsium inamoenum,9,False
outline,Cirsium irumtiense,4,False
outline,Cirsium isophyllum,1,False
outline,Cirsium italicum,4,False
outline,Cirsium jaliscoense,9,False
outline,Cirsium japonicum,184,True
outline,Cirsium joannae,1,False
outline,Cirsium jorullense,6,False
outline,Cirsium kamtschaticum,89,True
outline,Cirsium kawakamii,1,False
outline,Cirsium kirishimense,1,False
outline,Cirsium komarovii,2,False
outline,Cirsium kosmelii,6,False
outline,Cirsium laniflorum,11,False
outline,Cirsium latifolium,2,False
outline,Cirsium lecontei,13,False
outline,Cirsium leo,4,False
outline,Cirsium libanoticum,2,False
outline,Cirsium ligulare,15,False
outline,Cirsium lineare,2,False
outline,Cirsium lipskyi,3,False
outline,Cirsium lomatolepis,6,False
outline,Cirsium loncholepis,2,False
outline,Cirsium longistylum,2,False
outline,Cirsium luzoniense,1,False
outline,Cirsium maackii,13,False
outline,Cirsium macrobotrys,1,False
outline,Cirsium macrocephalum,2,False
outline,Cirsium maritimum,13,False
outline,Cirsium mexicanum,134,True
outline,Cirsium michiliense,1,False
outline,Cirsium mohavense,37,False
outline,Cirsium monocephalum,1,False
outline,Cirsium monspessulanum,82,True
outline,Cirsium morii,1,False
outline,Cirsium morinifolium,2,False
outline,Cirsium murdockii,2,False
outline,Cirsium muticum,559,True
outline,Cirsium myokoense,1,False
outline,Cirsium nambuense,1,False
outline,Cirsium neomexicanum,254,True
outline,Cirsium nipponicum,1,False
outline,Cirsium nivale,14,False
outline,Cirsium norikurense,1,False
outline,Cirsium notorhaphis,2,False
outline,Cirsium novoleonense,8,False
outline,Cirsium nuttallii,270,True
outline,Cirsium oaxacanum,2,False
outline,Cirsium obvallatum,66,True
outline,Cirsium occidentale,352,True
outline,Cirsium ochrocentrum,173,True
outline,Cirsium oleraceum,1553,True
outline,Cirsium oligophyllum,20,False
outline,Cirsium opacum,1,False
outline,Cirsium osseticum,4,False
outline,Cirsium otayae,3,False
outline,Cirsium ownbeyi,1,False
outline,Cirsium pacificum,10,False
outline,Cirsium palustre,2923,True
outline,Cirsium pannonicum,81,True
outline,Cirsium parryi,59,True
outline,Cirsium peckii,4,False
outline,Cirsium pendulum,41,False
outline,Cirsium perplexans,4,False
outline,Cirsium phyllocephalum,12,False
outline,Cirsium pinetorum,5,False
outline,Cirsium pitcheri,9,False
outline,Cirsium pringlei,7,False
outline,Cirsium pubigerum,1,False
outline,Cirsium pugnax,23,False
outline,Cirsium pulcherrimum,11,False
outline,Cirsium pumilum,161,True
outline,Cirsium purpuratum,14,False
outline,Cirsium pyrenaicum,16,False
outline,Cirsium quercetorum,24,False
outline,Cirsium radians,3,False
outline,Cirsium remotifolium,38,False
outline,Cirsium repandum,57,True
outline,Cirsium rhaphilepis,79,True
outline,Cirsium rhinoceros,3,False
outline,Cirsium rhizocephalum,18,False
outline,Cirsium rivulare,307,True
outline,Cirsium roseolum,8,False
outline,Cirsium rupinarum,1,False
outline,Cirsium sairamense,8,False
outline,Cirsium scariosum,223,True
outline,Cirsium schantarense,13,False
outline,Cirsium scopulorum,13,False
outline,Cirsium semenowii,15,False
outline,Cirsium serratuloides,84,True
outline,Cirsium serrulatum,226,True
outline,Cirsium setidens,7,False
outline,Cirsium shansiense,1,False
outline,Cirsium sieboldii,9,False
outline,Cirsium sieversii,6,False
outline,Cirsium simplex,16,False
outline,Cirsium sipyleum,1,False
outline,Cirsium skutchii,2,False
outline,Cirsium sorocephalum,5,False
outline,Cirsium souliei,4,False
outline,Cirsium spicatum,1,False
outline,Cirsium spinosissimum,140,True
outline,Cirsium spinosum,1,False
outline,Cirsium subcoriaceum,74,True
outline,Cirsium subuliforme,6,False
outline,Cirsium suffultum,1,False
outline,Cirsium suzukaense,4,False
outline,Cirsium suzukii,6,False
outline,Cirsium sychnosanthum,4,False
outline,Cirsium taiwanense,3,False
outline,Cirsium tamastoloniferum,1,False
outline,Cirsium tancitaroense,1,False
outline,Cirsium tatakaense,3,False
outline,Cirsium tenorioanum,1,False
outline,Cirsium tenuipedunculatum,2,False
outline,Cirsium tepehuanense,2,False
outline,Cirsium texanum,443,True
outline,Cirsium tioganum,5,False
outline,Cirsium townsendii,27,False
outline,Cirsium tracyi,11,False
outline,Cirsium tuberosum,62,True
outline,Cirsium tukuhnikivatzicum,4,False
outline,Cirsium turkestanicum,7,False
outline,Cirsium turneri,5,False
outline,Cirsium tweedyi,4,False
outline,Cirsium tymphaeum,4,False
outline,Cirsium ukranicum,60,True
outline,Cirsium uliginosum,3,False
outline,Cirsium undulatum,613,True
outline,Cirsium valentinum,1,False
outline,Cirsium velatum,5,False
outline,Cirsium verutum,9,False
outline,Cirsium viperinum,1,False
outline,Cirsium virginianum,13,False
outline,Cirsium vlassovianum,22,False
outline,Cirsium vulgare,10460,True
outline,Cirsium waldsteinii,19,False
outline,Cirsium wallichii,3,False
outline,Cirsium wheeleri,52,True
outline,Cirsium yakusimense,1,False
outline,Cirsium yatsu-alpicola,3,False
outline,Cirsium yezoense,2,False
outline,Cirsium zamoranense,1,False
outline,Cirsium zhejiangense,1,False
involucre,Cirsium acantholepis,1,False
involucre,Cirsium acaulon,7,False
involucre,Cirsium acrolepis,1,False
involucre,Cirsium alsophilum,2,False
involucre,Cirsium altissimum,26,False
involucre,Cirsium andersonii,7,False
involucre,Cirsium arachnoideum,1,False
involucre,Cirsium arctorhaphis,1,False
involucre,Cirsium arizonicum,6,False
involucre,Cirsium arvense,404,True
involucre,Cirsium barnebyi,1,False
involucre,Cirsium bertolonii,1,False
